event_id,place,,,status,,lane_bow,club,,,,,crew,,,rower,,,,penalty,penalty_desc,,time_official,delta,,,percent,,split1,,,cum1,,,split2,,cum2,,split3,cum3,,splitF,cum4
48,1,,,Finished,,7,Yale University Crew,,,,,,1176.002235,,1 - N. Goodman,,,,,,,14:18.970,,,,0,,3:19.832,,,3:19.832,,,4:37.942,,7:57.774,,4:01.336,11:59.110,,2:19.860,14:18.970
48,2,,,Finished,,4,"University Of California, Berkeley",,,,,,1176.001984,,M. MacKovic,,,,,,,14:19.650,.68,,,0.0008,,3:21.703,,,3:21.703,,,4:35.149,,7:56.852,,4:02.899,11:59.751,,2:19.899,14:19.650
48,3,,,Finished,,1,Harvard University,,,,,,1176.000827,,1 - J. Kelley,,,,,,,14:21.357,2.39,,,0.0028,,3:24.033,,,3:24.033,,,4:39.152,,8:03.185,,3:58.365,12:01.550,,2:19.807,14:21.357
48,4,,,Finished,,3,University Of Washington,,,,,,1176.002064,,P. Walczak,,,,,,,14:26.641,7.67,,,0.0089,,3:25.596,,,3:25.596,,,4:38.575,,8:04.171,,4:01.926,12:06.097,,2:20.544,14:26.641
48,5,,,Finished,,5,Boston University Mens Crew,,,,,,1176.000234,,1 - A. Marinkovski,,,,,,,14:29.908,10.94,,,0.0127,,3:24.349,,,3:24.349,,,4:41.525,,8:05.874,,4:04.711,12:10.585,,2:19.323,14:29.908
48,6,,,Finished,,6,Princeton University,,,,,,1176.001407,,1 - T. George,,,,,,,14:34.378,15.41,,,0.0179,,3:25.415,,,3:25.415,,,4:39.699,,8:05.114,,4:05.634,12:10.748,,2:23.630,14:34.378
48,7,,,Finished,,8,Brown University Crew,,,,,,1176.000226,,A. Reavill,,,,,,,14:38.304,19.33,,,0.0225,,3:25.822,,,3:25.822,,,4:43.398,,8:09.220,,4:07.255,12:16.475,,2:21.829,14:38.304
48,8,,,Finished,,18,Harvard University,,,,,,1176.000828,,2 - R. Rasmussen,,,,,,,14:41.886,22.92,,,0.0267,,3:24.571,,,3:24.571,,,4:41.193,,8:05.764,,4:11.685,12:17.449,,2:24.437,14:41.886
48,9,,,Finished,,19,Cornell University Crew,,,,,,1176.000529,,J. Cooper,,,,,,,14:47.078,28.11,,,0.0327,,3:27.939,,,3:27.939,,,4:42.285,,8:10.224,,4:12.043,12:22.267,,2:24.811,14:47.078
48,10,,,Finished,,9,Northeastern University,,,,,,1176.001239,,T. Appier,,,,,,,14:52.689,33.72,,,0.0393,,3:29.773,,,3:29.773,,,4:45.876,,8:15.649,,4:14.002,12:29.651,,2:23.038,14:52.689
