event_id,place,,,status,,lane_bow,,club,,,,,crew,,,rower,,,penalty,,penalty_desc,,time_official,,delta,,percent,,split1,,,cum1,,split2,,,cum2,split3,,cum3,splitF,cum4
18,1,,,Finished,,11,,Brown University Crew,,,,,1176.000224,,,2 - B. Stops,,,,,,,15:04.950,,,,0,,3:33.018,,,3:33.018,,4:42.300,,,8:15.318,4:18.842,,12:34.160,2:30.790,15:04.950
18,2,,,Finished,,1,,Northeastern University,,,,,1176.001236,,,W. Smith,,,,,,,15:08.323,,3.37,,0.0037,,3:38.258,,,3:38.258,,4:43.559,,,8:21.817,4:14.187,,12:36.004,2:32.319,15:08.323
18,3,,,Finished,,2,,Brown University Crew,,,,,1176.000223,,,1 - J. Jaeger,,,,,,,15:14.332,,9.38,,0.0104,,3:36.745,,,3:36.745,,4:44.501,,,8:21.246,4:16.237,,12:37.483,2:36.849,15:14.332
18,4,,,Finished,,3,,Harvard University,,,,,1176.000823,,,1 - J. Clarke,,,,,,,15:19.866,,14.92,,0.0165,,3:39.615,,,3:39.615,,4:45.153,,,8:24.768,4:19.189,,12:43.957,2:35.909,15:19.866
18,5,,,Finished,,5,,Boston University Mens Crew,,,,,1176.000231,,,1 - D. Miller,,,,,,,15:32.402,,27.45,,0.0303,,3:41.969,,,3:41.969,,4:46.201,,,8:28.170,4:27.018,,12:55.188,2:37.214,15:32.402
18,6,,,Finished,,7,,Boston University Mens Crew,,,,,1176.000232,,,2 - K. Blackburn,,,,,,,15:33.515,,28.57,,0.0316,,3:40.321,,,3:40.321,,4:50.646,,,8:30.967,4:26.949,,12:57.916,2:35.599,15:33.515
18,7,,,Finished,,4,,U.s. Naval Academy Mens Crew,,,,,1176.001913,,,1 - S. Gibson,,,,,,,15:42.783,,37.83,,0.0418,,3:46.416,,,3:46.416,,4:51.665,,,8:38.081,4:26.920,,13:05.001,2:37.782,15:42.783
18,8,,,Finished,,32,,Boston University Mens Crew,,,,,1176.000233,,,3 - R. Srinivas,,,,,,,15:45.477,,40.53,,0.0448,,3:44.786,,,3:44.786,,4:59.405,,,8:44.191,4:27.455,,13:11.646,2:33.831,15:45.477
18,9,,,Finished,,35,,Georgetown University,,,,,1176.000762,,,V. Merrick,,,,,,,15:47.902,,42.95,,0.0475,,3:47.836,,,3:47.836,,4:54.476,,,8:42.312,4:25.806,,13:08.118,2:39.784,15:47.902
18,10,,,Finished,,10,,Riverside Boat Club,,,,,1176.001442,,,C. Wu,,,,,,,15:48.976,,44.03,,0.0487,,3:44.452,,,3:44.452,,4:56.276,,,8:40.728,4:29.924,,13:10.652,2:38.324,15:48.976
18,11,,,Finished,,14,,Fat Cat Rowing Club,,,,,1176.000634,,,M. Farmer,,,,,,,15:50.076,,45.13,,0.0499,,3:41.725,,,3:41.725,,4:56.317,,,8:38.042,4:32.962,,13:11.004,2:39.072,15:50.076
18,12,,,Finished,,9,,Potomac Boat Club,,,,,1176.001328,,,J. Forrest,,,,,,,15:51.217,,46.27,,0.0511,,3:40.811,,,3:40.811,,5:00.426,,,8:41.237,4:31.192,,13:12.429,2:38.788,15:51.217
18,13,,,Finished,,39,,Dartmouth College,,,,,1176.000559,,,Plunkett,,,,,,,15:51.233,,46.28,,0.0511,,3:40.267,,,3:40.267,,4:54.314,,,8:34.581,4:32.405,,13:06.986,2:44.247,15:51.233
