Line,Detail,Event Id,Event Description,Club Name,Boat,Description,Race No,Race ID,Progression,Level,Distance,Race Date,Race Time,Boat Type,Gender,Event Type,Distance,Place,Lane/Bow,Status,Raw Time,Raw Delta,Raw %,Handicap,Penalty,Adj Time,Adj Delta,Adj %,500m,Rate,Spec Cat,Meters,Meters Delta
,,14,Men's Alumni Eights,1863 Boat Club,1,M. Poles,0,Final,Final,1,4800,42294,0.522222222,Eight,M,Alumni,4800,38,36,Finished,1737.286,152,0.1185,0,0,1737.286,152,0.1185,150.1,0,,0,0
,,15,Women's Alumni Eights,1927 Cambridge,1,A. Elkington,0,Final,Final,1,4800,42294,0.5375,Eight,W,Alumni,4800,26,12,Finished,1934.576,207.27,0.1215,0,0,1934.576,207.27,0.1215,202.4,0,,0,0
,,25,Women's Championship Doubles,1927 Cambridge,1,C. Seeliger,0,Final,Final,1,4800,42294,0.654166667,Double,W,Championship,4800,14,9,Finished,2039.429,141.5,0.0892,0,0,2039.429,141.5,0.0892,209.1,0,,0,0
,,15,Women's Alumni Eights,1927 Oxford,1,L. Murphy,0,Final,Final,1,4800,42294,0.5375,Eight,W,Alumni,4800,30,17,Finished,1954.345,227.04,0.1404,4.5,0,1949.845,222.54,0.1361,204.4,0,,0,0
,,6,Men's Senior Master Eights [50+],1980 Rowing Club,1,B. Ibbetson,0,Final,Final,1,4800,42294,0.420138889,Eight,M,Masters,4800,11,13,Finished,1720.954,106.81,0.0686,0,0,1720.954,106.81,0.0686,148.4,0,Grand Mstr,0,0
,,7,Women's Senior Master Eights [50+],1980 Rowing Club,1,S. Hooten,0,Final,Final,1,4800,42294,0.434722222,Eight,W,Masters,4800,11,7,Finished,2006.955,129.13,0.0797,0,0,2006.955,129.13,0.0797,205.7,0,Grand Mstr,0,0
,,8,Men's Senior Master Fours [50+],1980 Rowing Club,1,W. Purdy,0,Final,Final,1,4800,42294,0.447222222,Four +,M,Masters,4800,3,3,Finished,1851.075,27,0.0245,0,0,1851.075,27,0.0245,157.8,0,,0,0
,,13,Women's Senior Masters Singles [40+],612endurance Racing,1,S. Anderson,0,Final,Final,1,4800,42294,0.510416667,Single,W,Masters 1X,4800,21,24,Finished,2446.043,206.25,0.0928,0,0,2446.043,206.25,0.0928,234.8,0,,0,0
,,2,"Women's Veteran I/II And Senior Veteran I/II Singles [60 - 69, 70+]",612endurance Racing,1,S. Michals,0,Final,Final,1,4800,42294,0.347222222,Single,W,Veterans,4800,28,49,Finished,2623.454,240.02,0.1124,0,5,2628.454,245.02,0.1159,244.9,0,Vet I,0,0
,,3,Men's Veteran Singles I And II [60+],612endurance Racing,1,S. Michals,0,Final,Final,1,4800,42294,0.371527778,Single,M,Veterans,4800,22,16,Finished,2312.613,146.3,0.0826,0,0,2312.613,146.3,0.0826,225.1,0,Vet I,0,0
,,32A,Men's Club Singles,612endurance Racing,1,M. Koehler,0,Final,Final,1,4800,42295,0.361111111,Single,M,Club,4800,9,15,Finished,1953.927,51.01,0.0446,0,0,1953.927,51.01,0.0446,204.4,0,,0,0
,,4,Men's Grand Master Singles [50+],612endurance Racing,1,J. Alfano,0,Final,Final,1,4800,42294,0.388888889,Single,M,Masters 1X,4800,32,51,Finished,2226.303,300.48,0.1548,0,15,2241.303,315.48,0.1677,220.2,0,,0,0
,,44,Men's Master Doubles [40+],612endurance Racing,1,P. Johnson,0,Final,Final,1,4800,42295,0.572916667,Double,M,Masters,4800,2,1,Finished,1822.602,17.02,0.0157,0,0,1822.602,17.02,0.0157,154.9,0,,0,0
,,6,Men's Senior Master Eights [50+],87 Gold Rowing Club,1,J. McLaughlin,0,Final,Final,1,4800,42294,0.420138889,Eight,M,Masters,4800,4,4,Finished,1654.201,40.06,0.0411,0,0,1654.201,40.06,0.0411,145.6,0,,0,0
,,25,Women's Championship Doubles,A.a.s.r. Skoll,1,C. Bouw,0,Final,Final,1,4800,42294,0.654166667,Double,W,Championship,4800,4,2,Finished,1916.928,19,0.0167,0,0,1916.928,19,0.0167,200.5,0,,0,0
,,DCW4X,Directors' Challenge Women's Quads,A.a.s.r. Skoll,1,C. Bouw,0,Final,Final,1,4800,42295,0.41875,Quad -,W,Challenge,4800,1,1,Finished,1657.762,0,0,0,0,1657.762,0,0,146,0,,0,0
,,25,Women's Championship Doubles,A.u.s.r. Orca,1,C. Achterberg,0,Final,Final,1,4800,42294,0.654166667,Double,W,Championship,4800,1,1,Finished,1857.933,0,0,0,0,1857.933,0,0,158.5,0,,0,0
,,48,Men's Championship Eights,A.u.s.r. Orca,1,D. Smits,0,Final,Final,1,4800,42295,0.604166667,Eight,M,Championship,4800,23,23,Finished,1530.242,111.27,0.083,0,0,1530.242,111.27,0.083,136.9,0,,0,0
,,49,Women's Championship Eights,A.u.s.r. Orca,1,R. Bas,0,Final,Final,1,4800,42295,0.613888889,Eight,W,Championship,4800,25,26,Finished,1738.359,139.73,0.104,0,0,1738.359,139.73,0.104,150.2,0,,0,0
,,12,Men's Senior Master Singles [40+],Aberdeen Boat Club,1,J. Arthur,0,Final,Final,1,4800,42294,0.502083333,Single,M,Masters 1X,4800,20,30,Finished,2145.53,213.18,0.1136,0,0,2145.53,213.18,0.1136,216,0,,0,0
,,33B,Women's Youth Singles,Advanced Community Rowing Association Inc.,1,M. Bose,0,Final,Final,1,4800,42295,0.377777778,Single,W,Youth,4800,20,46,Finished,2413.386,254.04,0.136,0,0,2413.386,254.04,0.136,231.4,0,,0,0
,,38,Men's Youth Doubles,Advanced Community Rowing Association Inc.,1,K. Woolley,0,Final,Final,1,4800,42295,0.472916667,Double,M,Youth,4800,38,33,Finished,2022.957,233.52,0.1436,0,0,2022.957,233.52,0.1436,207.4,0,,0,0
,,7,Women's Senior Master Eights [50+],Adventure Out!,1,m. webber,0,Final,Final,1,4800,42294,0.434722222,Eight,W,Masters,4800,27,33,Finished,2202.598,324.77,0.1832,0,0,2202.598,324.77,0.1832,217.8,0,,0,0
,,14,Men's Alumni Eights,Aging Aggies Rowing Program,1,J. Shattuck,0,Final,Final,1,4800,42294,0.522222222,Eight,M,Alumni,4800,41,20,Finished,1748.056,202.77,0.1299,0,0,1748.056,202.77,0.1299,151.3,0,,0,0
,,20,Men's Master Fours [40+],Aging Aggies Rowing Program,1,T. Runeman,0,Final,Final,1,4800,42294,0.608333333,Four +,M,Masters,4800,9,30,Finished,1827.624,126.03,0.0842,0,0,1827.624,126.03,0.0842,155.4,0,,0,0
,,21,Women's Master Fours [40+],Aging Aggies Rowing Program,1,K. Demello,0,Final,Final,1,4800,42294,0.617361111,Four +,W,Masters,4800,28,26,Finished,2901.117,910.58,0.4625,0,0,2901.117,910.58,0.4625,301.4,0,,0,0
,,8,Men's Senior Master Fours [50+],Aging Aggies Rowing Program,1,L. Floyd,0,Final,Final,1,4800,42294,0.447222222,Four +,M,Masters,4800,24,20,Finished,2010.72,146.64,0.0966,0,0,2010.72,146.64,0.0966,206.1,0,,0,0
,,9,Women's Senior Master Fours [50+],Aging Aggies Rowing Program,1,E. Cushna,0,Final,Final,1,4800,42294,0.461805556,Four +,W,Masters,4800,46,45,Finished,2505.415,433.78,0.2223,0,0,2505.415,433.78,0.2223,236.8,0,,0,0
,,DCMX4X,Directors' Challenge Mixed Quads,Akamai,1,AkaQuad,0,Final,Final,1,4800,42295,0.624305556,Quad -,MX,Challenge,4800,22,16,Finished,2041.962,334.57,0.2088,11.5,0,2030.462,321.57,0.1959,209.4,0,,0,0
