event_id,place,,,status,,lane_bow,club,,,,,crew,,rower,,,penalty,,penalty_desc,,time_official,delta,,percent,,split1,,cum1,,,split2,,cum2,,split3,cum3,,splitF,cum4
47,1,,,Finished,,1,Usrowing,,,,,1176.002076,,,,,,,,,17:33.793,,,0,,4:10.984,,4:10.984,,,5:40.157,,9:51.141,,4:54.449,14:45.590,,2:48.203,17:33.793
47,2,,,Finished,,11,New York Athletic Club,,,,,1176.00126,,L. Shoop,,,,,,,18:02.389,28.60,,0.0271,,4:18.404,,4:18.404,,,5:46.357,,10:04.761,,5:00.939,15:05.700,,2:56.689,18:02.389
47,3,,,Finished,,4,Brown University Womens Crew,,,,,1176.000247,,E. Betuel,,,,,,,18:05.230,31.44,,0.0298,,4:19.446,,4:19.446,,,5:51.642,,10:11.088,,4:59.845,15:10.933,,2:54.297,18:05.230
47,4,,,Finished,,3,University Of Virginia Womens Crew,,,,,1176.00206,,M. Brennan,,,,,,,18:24.074,50.28,,0.0477,,4:18.954,,4:18.954,,,5:54.784,,10:13.738,,5:11.849,15:25.587,,2:58.487,18:24.074
47,5,,,Finished,,7,Don Rowing Club,,,,,1176.000584,,S. Pidgen,,,0:05,,2-FG,,18:41.901,1:08.11,,0.0646,,4:21.549,,4:21.549,,,5:59.342,,10:20.891,,5:11.873,15:32.764,,3:04.137,18:36.901
47,6,,,Finished,,13,University Of Iowa,,,,,1176.001997,,G. Kerr,,,,,,,18:45.673,1:11.88,,0.0682,,4:22.990,,4:22.990,,,6:04.779,,10:27.769,,5:17.601,15:45.370,,3:00.303,18:45.673
47,7,,,Finished,,8,University Of Notre Dame Womens Rowing,,,,,1176.002024,,E. Gleadow,,,,,,,18:56.107,1:22.32,,0.0781,,4:28.956,,4:28.956,,,6:05.651,,10:34.607,,5:18.821,15:53.428,,3:02.679,18:56.107
47,8,,,Finished,,2,Syracuse University,,,,,1176.001771,,A. Dorner,,,,,,,19:00.095,1:26.31,,0.0819,,4:29.993,,4:29.993,,,6:08.874,,10:38.867,,5:18.375,15:57.242,,3:02.853,19:00.095
47,9,,,Finished,,14,University Of Tennessee Womens Rowing,,,,,1176.002047,,,,,,,,,19:03.296,1:29.51,,0.0849,,4:31.785,,4:31.785,,,6:05.351,,10:37.136,,5:21.437,15:58.573,,3:04.723,19:03.296
47,10,,,Finished,,9,University Of Miami Crew,,,,,1176.002014,,A. Whitty,,,,,,,19:06.945,1:33.16,,0.0884,,4:31.256,,4:31.256,,,6:09.545,,10:40.801,,5:21.962,16:02.763,,3:04.182,19:06.945
47,11,,,Finished,,5,Yale University Crew,,,,,1176.002234,,G. Esse,,,,,,,19:07.921,1:34.13,,0.0893,,4:32.669,,4:32.669,,,6:09.294,,10:41.963,,5:23.194,16:05.157,,3:02.764,19:07.921
47,12,,,Finished,,6,Navy Womens Crew,,,,,1176.001246,,M. Kosmides,,,,,,,19:12.167,1:38.38,,0.0934,,4:36.253,,4:36.253,,,6:08.504,,10:44.757,,5:22.397,16:07.154,,3:05.013,19:12.167
47,13,,,Finished,,17,Radcliffe Crew,,,,,1176.001491,,V. Basedow,,,,,,,19:14.219,1:40.43,,0.0953,,4:31.931,,4:31.931,,,6:07.664,,10:39.595,,5:25.079,16:04.674,,3:09.545,19:14.219
47,14,,,Finished,,15,Georgetown University,,,,,1176.000764,,,,,,,,,19:29.680,1:55.89,,0.11,,4:38.054,,4:38.054,,,6:13.212,,10:51.266,,5:26.886,16:18.152,,3:11.528,19:29.680
47,15,,,Finished,,19,University of Rhode Island Womens Crew,,,,,1176.00204,,M. landry,,,,,,,19:31.464,1:57.67,,0.1117,,4:34.904,,4:34.904,,,6:13.292,,10:48.196,,5:33.808,16:22.004,,3:09.460,19:31.464
47,16,,,Finished,,10,Riverside Boat Club,,,,,1176.001482,,E. van lennep,,,,,,,19:39.278,2:05.49,,0.1191,,4:41.213,,4:41.213,,,6:17.581,,10:58.794,,5:31.693,16:30.487,,3:08.791,19:39.278
47,17,,,Finished,,16,Princeton University,,,,,1176.001406,,C. Nutter,,,,,,,19:47.035,2:13.25,,0.1264,,4:41.083,,4:41.083,,,6:19.646,,11:00.729,,5:31.523,16:32.252,,3:14.783,19:47.035
47,18,,,Finished,,12,Boston University Womens Crew,,,,,1176.00024,,,,,,,,,20:03.157,2:29.37,,0.1417,,4:42.254,,4:42.254,,,6:29.649,,11:11.903,,5:35.806,16:47.709,,3:15.448,20:03.157
47,19,,,Finished,,18,University Of Connecticut,,,,,1176.001981,,K. Lavrentios,,,,,,,20:29.183,2:55.39,,0.1664,,4:51.471,,4:51.471,,,6:32.834,,11:24.305,,5:47.221,17:11.526,,3:17.657,20:29.183
