event_id,place,,,status,,lane_bow,club,,,,,crew,,rower,,penalty,penalty_desc,,time_official,delta,,percent,split1,,,,cum1,,,split2,,,cum2,,split3,cum3,,splitF,cum4
49,1,,,Finished,,32,"University Of California, Berkeley",,,,,1176.001985,,K. Chase,,,,,15:58.626,,,0,3:41.795,,,,3:41.795,,,5:08.423,,,8:50.218,,4:32.071,13:22.289,,2:36.337,15:58.626
49,2,,,Finished,,4,Brown University Womens Crew,,,,,1176.000248,,A. Shafi,,,,,16:23.350,24.72,,0.0258,3:50.134,,,,3:50.134,,,5:19.904,,,9:10.038,,4:35.616,13:45.654,,2:37.696,16:23.350
49,3,,,Finished,,2,University Of Virginia Womens Crew,,,,,1176.002061,,G. Ratcliff,,,,,16:24.176,25.55,,0.0267,3:49.638,,,,3:49.638,,,5:24.384,,,9:14.022,,4:33.492,13:47.514,,2:36.662,16:24.176
49,4,,,Finished,,8,Princeton University,,,,,1176.001409,,1 - C. Collins,,,,,16:29.785,31.16,,0.0325,3:48.906,,,,3:48.906,,,5:19.145,,,9:08.051,,4:37.760,13:45.811,,2:43.974,16:29.785
49,5,,,Finished,,5,Yale University Crew,,,,,1176.002237,,1 - M. Galloway,,,,,16:40.069,41.44,,0.0432,3:53.418,,,,3:53.418,,,5:26.769,,,9:20.187,,4:38.833,13:59.020,,2:41.049,16:40.069
49,6,,,Finished,,25,Syracuse University,,,,,1176.001772,,D. Fitzpatrick,,,,,16:48.380,49.75,,0.0519,3:51.686,,,,3:51.686,,,5:25.444,,,9:17.130,,4:43.267,14:00.397,,2:47.983,16:48.380
49,7,,,Finished,,3,University Of Michigan Womens Crew,,,,,1176.00202,,1 - R. Joyce,,,,,16:49.478,50.85,,0.053,3:53.776,,,,3:53.776,,,5:30.828,,,9:24.604,,4:43.602,14:08.206,,2:41.272,16:49.478
49,8,,,Finished,,7,University Of Wisconsin,,,,,1176.002067,,M. Wanamaker,,,,,16:50.357,51.73,,0.054,3:55.128,,,,3:55.128,,,5:31.115,,,9:26.243,,4:42.108,14:08.351,,2:42.006,16:50.357
49,9,,,Finished,,23,University Of Iowa,,,,,1176.001998,,B. Baustian,,,,,16:53.287,54.66,,0.057,3:59.738,,,,3:59.738,,,5:24.409,,,9:24.147,,4:46.980,14:11.127,,2:42.160,16:53.287
49,10,,,Finished,,24,Michigan State University Women's Crew,,,,,1176.00112,,R. Uebele,,,,,16:53.764,55.13,,0.0575,3:56.389,,,,3:56.389,,,5:28.529,,,9:24.918,,4:45.319,14:10.237,,2:43.527,16:53.764
49,11,,,Finished,,12,Yale University Crew,,,,,1176.002238,,2 - M. Scherpbier,,,,,16:54.425,55.80,,0.0582,3:59.129,,,,3:59.129,,,5:26.566,,,9:25.695,,4:46.456,14:12.151,,2:42.274,16:54.425
49,12,,,Finished,,10,Northeastern University,,,,,1176.00124,,B. Husebye,,,,,16:57.173,58.54,,0.0611,3:57.842,,,,3:57.842,,,5:29.667,,,9:27.509,,4:46.605,14:14.114,,2:43.059,16:57.173
49,13,,,Finished,,13,University Of Notre Dame Womens Rowing,,,,,1176.002025,,T. O'Tighearnaigh,,,,,16:58.258,59.63,,0.0622,3:55.054,,,,3:55.054,,,5:31.438,,,9:26.492,,4:47.396,14:13.888,,2:44.370,16:58.258
49,14,,,Finished,,22,University Of Michigan Womens Crew,,,,,1176.002021,,2 - K. Vear,,,,,17:00.582,1:01.95,,0.0646,4:01.433,,,,4:01.433,,,5:26.571,,,9:28.004,,4:49.220,14:17.224,,2:43.358,17:00.582
49,15,,,Finished,,20,Dartmouth College,,,,,1176.000562,,K. Griffiths,,,,,17:02.733,1:04.10,,0.0669,3:55.442,,,,3:55.442,,,5:34.441,,,9:29.883,,4:48.585,14:18.468,,2:44.265,17:02.733
49,16,,,Finished,,16,Clemson University-Women,,,,,1176.000517,,T. Lundstrom,,,,,17:06.321,1:07.69,,0.0706,3:49.321,,,,3:49.321,,,5:37.846,,,9:27.167,,4:52.257,14:19.424,,2:46.897,17:06.321
49,17,,,Finished,,27,Usc Women's Rowing,,,,,1176.002093,,K. Koovit,,,,,17:06.610,1:07.98,,0.0709,4:01.430,,,,4:01.430,,,5:23.668,,,9:25.098,,4:51.768,14:16.866,,2:49.744,17:06.610
49,18,,,Finished,,15,University Of Pennsylvania Crew,,,,,1176.002034,,C. Nordrum,,,,,17:10.119,1:11.49,,0.0746,4:04.823,,,,4:04.823,,,5:30.200,,,9:35.023,,4:48.751,14:23.774,,2:46.345,17:10.119
49,19,,,Finished,,6,Radcliffe Crew,,,,,1176.001492,,1 - S. Donnecke,,,,,17:10.863,1:12.23,,0.0753,3:55.132,,,,3:55.132,,,5:34.523,,,9:29.655,,4:53.724,14:23.379,,2:47.484,17:10.863
49,20,,,Finished,,14,University of Minnesota Rowing,,,,,1176.002019,,J. Flakne,,,,,17:11.095,1:12.47,,0.0756,3:59.743,,,,3:59.743,,,5:32.924,,,9:32.667,,4:53.779,14:26.446,,2:44.649,17:11.095
49,21,,,Finished,,17,Boston College,,,,,1176.000126,,,,,,,17:17.997,1:19.37,,0.0828,4:02.901,,,,4:02.901,,,5:34.254,,,9:37.155,,4:53.936,14:31.091,,2:46.906,17:17.997
49,22,,,Finished,,9,Cornell University Crew,,,,,1176.00053,,E. Barnett,,,,,17:23.990,1:25.36,,0.089,4:04.259,,,,4:04.259,,,5:38.923,,,9:43.182,,4:54.299,14:37.481,,2:46.509,17:23.990
49,23,,,Finished,,19,Boston University Womens Crew,,,,,1176.000241,,,,,,,17:32.958,1:34.33,,0.0984,4:05.675,,,,4:05.675,,,5:32.569,,,9:38.244,,5:01.897,14:40.141,,2:52.817,17:32.958
49,24,,,Finished,,33,University Of Massachusetts Crew,,,,,1176.002009,,A. Balciunaite,,,,,17:37.843,1:39.21,,0.1035,4:10.458,,,,4:10.458,,,5:33.849,,,9:44.307,,5:02.285,14:46.592,,2:51.251,17:37.843
49,25,,,Finished,,26,A.u.s.r. Orca,,,,,1176.000057,,R. Bas,,,,,17:38.359,1:39.73,,0.104,4:09.117,,,,4:09.117,,,5:39.282,,,9:48.399,,4:58.802,14:47.201,,2:51.158,17:38.359
49,26,,,Finished,,11,Princeton University,,,,,1176.00141,,2 - A. Paine,,,,,17:39.406,1:40.78,,0.1051,4:01.788,,,,4:01.788,,,5:43.908,,,9:45.696,,5:01.626,14:47.322,,2:52.084,17:39.406
49,27,,,Finished,,18,Radcliffe Crew,,,,,1176.001493,,2 - S. Young,,,,,17:57.334,1:58.70,,0.1238,4:11.279,,,,4:11.279,,,5:41.549,,,9:52.828,,5:09.821,15:02.649,,2:54.685,17:57.334
49,28,,,Finished,,30,Rutgers University Womens Crew,,,,,1176.001588,,,,,,,18:00.555,2:01.93,,0.1272,4:17.770,,,,4:17.770,,,5:43.041,,,10:00.811,,5:03.120,15:03.931,,2:56.624,18:00.555
49,29,,,Finished,,28,Tideway Scullers,,,,,1176.001838,,J. Schultz,,,,,18:14.899,2:16.27,,0.1422,4:14.361,,,,4:14.361,,,5:56.392,,,10:10.753,,5:07.652,15:18.405,,2:56.494,18:14.899
49,30,,,Finished,,21,Massachusetts Institute Of Technology,,,,,1176.00101,,L. Sayre,,,,,18:21.090,2:22.46,,0.1486,4:19.613,,,,4:19.613,,,5:49.163,,,10:08.776,,5:14.535,15:23.311,,2:57.779,18:21.090
49,31,,,Finished,,31,College Of The Holy Cross,,,,,1176.000392,,C. Roy,,,,,18:26.843,2:28.21,,0.1546,4:24.240,,,,4:24.240,,,5:48.623,,,10:12.863,,5:17.884,15:30.747,,2:56.096,18:26.843
49,32,,,Finished,,29,University Of Connecticut,,,,,1176.001982,,A. Kelley,,,,,18:57.290,2:58.66,,0.1864,4:24.881,,,,4:24.881,,,6:04.291,,,10:29.172,,5:22.897,15:52.069,,3:05.221,18:57.290
