event_id,place,,,status,,lane_bow,,club,,,,,crew,,,rower,,,penalty,,penalty_desc,,time_official,,delta,,percent,,,split1,,cum1,,split2,,,cum2,split3,,cum3,splitF,cum4
17,1,,,Finished,,35,,Potomac Boat Club,,,,,1176.001327,,,R. Soja,,,,,,,19:01.087,,,,0,,,4:35.907,,4:35.907,,5:57.870,,,10:33.777,5:16.276,,15:50.053,3:11.034,19:01.087
17,2,,,Finished,,7,,Clemson University-Women,,,,,1176.000516,,,G. Bergamasco,,,,,,,19:01.267,,.18,,0.0002,,,4:30.026,,4:30.026,,5:56.777,,,10:26.803,5:23.740,,15:50.543,3:10.724,19:01.267
17,3,,,Finished,,38,,Thames Rowing Club,,,,,1176.001814,,,H. Broad,,,,,,,19:20.529,,19.44,,0.017,,,4:45.565,,4:45.565,,6:00.218,,,10:45.783,5:23.124,,16:08.907,3:11.622,19:20.529
17,4,,,Finished,,3,,University Of Wisconsin,,,,,1176.002065,,,S. Roe,,,,,,,19:20.771,,19.68,,0.0172,,,4:33.975,,4:33.975,,6:05.982,,,10:39.957,5:31.079,,16:11.036,3:09.735,19:20.771
17,5,,,Finished,,5,,Boston University Womens Crew,,,,,1176.000238,,,,,,,,,,19:22.187,,21.10,,0.0185,,,4:34.645,,4:34.645,,6:03.490,,,10:38.135,5:31.038,,16:09.173,3:13.014,19:22.187
17,6,,,Finished,,2,,Tbc Racing,,,,,1176.001802,,,,,,,,,,19:22.286,,21.20,,0.0186,,,4:33.616,,4:33.616,,6:05.768,,,10:39.384,5:31.117,,16:10.501,3:11.785,19:22.286
17,7,,,Finished,,9,,Edmonton Rowing Club,,,,,1176.000621,,,A. Labrecque,,,,,,,19:27.071,,25.98,,0.0228,,,4:33.190,,4:33.190,,6:03.279,,,10:36.469,5:37.784,,16:14.253,3:12.818,19:27.071
17,8,,,Finished,,12,,Lincoln Park Boat Club,,,,,1176.000912,,,1 - A. Rogers,,,,,,,19:29.913,,28.82,,0.0253,,,4:35.599,,4:35.599,,6:05.892,,,10:41.491,5:30.803,,16:12.294,3:17.619,19:29.913
17,9,,,Finished,,13,,Temple University Rowing,,,,,1176.001852,,,1 - L. Millio,,,,,,,19:36.667,,35.58,,0.0312,,,4:39.305,,4:39.305,,6:04.636,,,10:43.941,5:30.669,,16:14.610,3:22.057,19:36.667
17,10,,,Finished,,14,,Marist College Crew,,,,,1176.000993,,,J. Rigothi,,,,,,,19:44.786,,43.70,,0.0383,,,4:42.822,,4:42.822,,6:05.138,,,10:47.960,5:33.140,,16:21.100,3:23.686,19:44.786
17,11,,,Finished,,10,,University Of Miami Crew,,,,,1176.002012,,,1 - C. Tayler,,,,,,,19:51.748,,50.66,,0.0444,,,4:45.247,,4:45.247,,6:08.809,,,10:54.056,5:35.094,,16:29.150,3:22.598,19:51.748
17,12,,,Finished,,6,,Lake Union Crew,,,,,1176.000939,,,S. Smith,,,,,,,19:53.313,,52.22,,0.0458,,,4:40.406,,4:40.406,,6:15.101,,,10:55.507,5:35.449,,16:30.956,3:22.357,19:53.313
17,13,,,Finished,,36,,University Barge Club,,,,,1176.001894,,,M. McDevitt,,,,,,,20:00.423,,59.33,,0.052,,,4:49.573,,4:49.573,,6:16.868,,,11:06.441,5:28.633,,16:35.074,3:25.349,20:00.423
17,14,,,Finished,,23,,Temple University Rowing,,,,,1176.001853,,,2 - L. Papaleo,,,,,,,20:04.251,,1:03.16,,0.0554,,,4:47.838,,4:47.838,,6:14.481,,,11:02.319,5:40.912,,16:43.231,3:21.020,20:04.251
17,15,,,Finished,,45,,University Of Delaware,,,,,1176.001991,,,C. Alexander,,,,,,,20:06.161,,1:05.07,,0.057,,,4:54.375,,4:54.375,,6:10.864,,,11:05.239,5:37.690,,16:42.929,3:23.232,20:06.161
17,16,,,Finished,,1,,Fordham University,,,,,1176.000687,,,K. Ramsey,,,,,,,20:06.238,,1:05.15,,0.0571,,,4:48.868,,4:48.868,,6:19.690,,,11:08.558,5:41.485,,16:50.043,3:16.195,20:06.238
17,17,,,Finished,,41,,Lincoln Park Boat Club,,,,,1176.000913,,,2 - L. Hawthorne,,,,,,,20:08.151,,1:07.06,,0.0588,,,4:57.004,,4:57.004,,6:14.075,,,11:11.079,5:36.386,,16:47.465,3:20.686,20:08.151
17,18,,,Finished,,47,,Texas Rowing Center,,,,,1176.001804,,,A. Ohrstrom,,,,,,,20:11.877,,1:10.79,,0.062,,,5:00.071,,5:00.071,,6:08.774,,,11:08.845,5:39.923,,16:48.768,3:23.109,20:11.877
17,19,,,Finished,,55,,University Of Miami Crew,,,,,1176.002013,,,2 - T. Richard,,,,,,,20:18.360,,1:17.27,,0.0677,,,5:06.135,,5:06.135,,6:09.137,,,11:15.272,5:40.539,,16:55.811,3:22.549,20:18.360
17,20,,,Finished,,59,,University Of Pennsylvania Crew,,,,,1176.00203,,,B. Rogers,,,,,,,20:27.202,,1:26.11,,0.0755,,,5:06.160,,5:06.160,,6:20.950,,,11:27.110,5:38.387,,17:05.497,3:21.705,20:27.202
17,21,,,Finished,,24,,Minneapolis Rowing Club,,,,,1176.001087,,,K. Liljeberg,,,,,,,20:32.219,,1:31.13,,0.0799,,,4:59.989,,4:59.989,,6:19.350,,,11:19.339,5:44.029,,17:03.368,3:28.851,20:32.219
17,22,,,Finished,,48,,Army Rowing Club,,,,,1176.000078,,,S. Faldo,,,,,,,20:37.848,,1:36.76,,0.0848,,,4:58.216,,4:58.216,,6:16.762,,,11:14.978,5:52.614,,17:07.592,3:30.256,20:37.848
17,23,,,Finished,,39,,Vanderbilt University Crew,,,,,1176.002126,,,G. Lu,,,,,,,20:40.792,,1:39.70,,0.0874,,,5:03.986,,5:03.986,,6:22.096,,,11:26.082,5:46.066,,17:12.148,3:28.644,20:40.792
17,24,,,Finished,,20,,Lake Merritt Rowing Club,,,,,1176.000906,,,K. Lindl,,,,,,,20:47.447,,1:46.36,,0.0932,,,5:05.028,,5:05.028,,6:27.775,,,11:32.803,5:47.576,,17:20.379,3:27.068,20:47.447
17,25,,,Finished,,26,,Row New York,,,,,1176.001539,,,M. Carter,,,,,,,20:50.119,,1:49.03,,0.0955,,,5:05.017,,5:05.017,,6:21.464,,,11:26.481,5:54.660,,17:21.141,3:28.978,20:50.119
17,26,,,Finished,,25,,"Riverfront Recapture, Inc.",,,,,1176.00157,,,M. Nash,,,,,,,20:52.055,,1:50.97,,0.0972,,,5:06.027,,5:06.027,,6:22.102,,,11:28.129,5:52.834,,17:20.963,3:31.092,20:52.055
17,27,,,Finished,,4,,Riverside Boat Club,,,,,1176.001441,,,J. Peterson,,,,,,,20:53.710,,1:52.62,,0.0987,,,4:52.756,,4:52.756,,6:25.790,,,11:18.546,5:58.113,,17:16.659,3:37.051,20:53.710
17,28,,,Finished,,27,,University Of Massachusetts - Lowell,,,,,1176.002016,,,S. Krawiec,,,,,,,20:56.269,,1:55.18,,0.1009,,,5:07.387,,5:07.387,,6:27.656,,,11:35.043,5:49.859,,17:24.902,3:31.367,20:56.269
17,29,,,Finished,,43,,Winnipeg Rowing Club,,,,,1176.002187,,,A. Kroeker,,,,,,,20:56.596,,1:55.51,,0.1012,,,5:06.771,,5:06.771,,6:29.827,,,11:36.598,5:52.350,,17:28.948,3:27.648,20:56.596
17,30,,,Finished,,8,,University Of Connecticut,,,,,1176.001979,,,H. Norris,,,,,,,21:03.960,,2:02.87,,0.1077,,,4:53.557,,4:53.557,,6:35.129,,,11:28.686,6:00.359,,17:29.045,3:34.915,21:03.960
17,31,,,Finished,,64,,Case Crew,,,,,1176.000336,,,S. Merlino,,,,,,,21:05.158,,2:04.07,,0.1087,,,5:06.709,,5:06.709,,6:23.345,,,11:30.054,5:50.974,,17:21.028,3:44.130,21:05.158
17,32,,,Finished,,30,,Gentle Giant Rowing Club,,,,,1176.000728,,,A. Kettlewell,,,,,,,21:09.694,,2:08.60,,0.1127,,,5:03.657,,5:03.657,,6:36.205,,,11:39.862,5:52.024,,17:31.886,3:37.808,21:09.694
17,33,,,Finished,,51,,Bryn Mawr College,,,,,1176.000179,,,C. Omick,,,,,,,21:10.233,,2:09.14,,0.1132,,,5:15.148,,5:15.148,,6:32.437,,,11:47.585,5:53.138,,17:40.723,3:29.510,21:10.233
17,34,,,Finished,,11,,Princeton University,,,,,1176.001404,,,E. Schneider,,,,,,,21:12.003,,2:10.91,,0.1147,,,5:00.963,,5:00.963,,6:44.424,,,11:45.387,5:53.380,,17:38.767,3:33.236,21:12.003
17,35,,,Finished,,17,,Undine Barge Club,,,,,1176.001863,,,E. Picciani,,,,,,,21:17.725,,2:16.64,,0.1197,,,5:01.484,,5:01.484,,6:39.275,,,11:40.759,5:56.647,,17:37.406,3:40.319,21:17.725
17,36,,,Finished,,58,,Peterborough Rowing Club,,,,,1176.001376,,,H. Curtis,,,,,,,21:19.287,,2:18.20,,0.1211,,,5:28.411,,5:28.411,,6:36.116,,,12:04.527,5:44.291,,17:48.818,3:30.469,21:19.287
17,37,,,Finished,,31,,High Point University,,,,,1176.000797,,,K. Flynn,,,,,,,21:19.614,,2:18.52,,0.1214,,,5:12.765,,5:12.765,,6:46.569,,,11:59.334,5:49.479,,17:48.813,3:30.801,21:19.614
17,38,,,Finished,,18,,Vancouver Rowing Club,,,,,1176.002122,,,K. Klinger,,,,,,,21:26.952,,2:25.86,,0.1278,,,5:11.187,,5:11.187,,6:43.921,,,11:55.108,5:52.879,,17:47.987,3:38.965,21:26.952
17,39,,,Finished,,61,,Black Prince Boat Club,,,,,1176.000185,,,E. Gillis-Buck,,,,,,,21:30.159,,2:29.07,,0.1306,,,5:19.190,,5:19.190,,6:33.587,,,11:52.777,5:57.471,,17:50.248,3:39.911,21:30.159
17,40,,,Finished,,22,,Boulder Community Rowing,,,,,1176.000144,,,J. Withycombe,,,,,,,21:37.704,,2:36.61,,0.1372,,,5:11.002,,5:11.002,,6:38.554,,,11:49.556,6:04.065,,17:53.621,3:44.083,21:37.704
17,41,,,Finished,,15,,Union Boat Club,,,,,1176.001878,,,,,,,,,,21:39.649,,2:38.56,,0.139,,,5:09.477,,5:09.477,,6:45.074,,,11:54.551,6:06.674,,18:01.225,3:38.424,21:39.649
17,42,,,Finished,,33,,SUNY Geneseo,,,,,1176.001655,,,R. Bruce,,,,,,,21:45.079,,2:43.99,,0.1437,,,5:19.325,,5:19.325,,6:50.050,,,12:09.375,6:00.199,,18:09.574,3:35.505,21:45.079
17,43,,,Finished,,37,,Farmington Valley Rowing Association,,,,,1176.000694,,,E. Center-Gray,,,,,,,21:56.814,,2:55.72,,0.154,,,5:24.806,,5:24.806,,6:41.374,,,12:06.180,6:08.756,,18:14.936,3:41.878,21:56.814
17,44,,,Finished,,34,,Hingham Harbor Rowing Club,,,,,1176.000788,,,A. Kornet,,,,,,,21:57.005,,2:55.92,,0.1542,,,5:20.953,,5:20.953,,6:51.384,,,12:12.337,6:06.695,,18:19.032,3:37.973,21:57.005
17,45,,,Finished,,29,,Penn State Crew,,,,,1176.001399,,,C. Calia,,,,,,,22:00.951,,2:59.86,,0.1576,,,5:22.100,,5:22.100,,6:48.289,,,12:10.389,6:09.025,,18:19.414,3:41.537,22:00.951
17,46,,,Finished,,21,,Merrimac River Rowing Association,,,,,1176.001106,,,B. Granum,,,,,,,22:08.354,,3:07.26,,0.1641,,,5:18.627,,5:18.627,,6:45.555,,,12:04.182,6:19.093,,18:23.275,3:45.079,22:08.354
17,47,,,Finished,,28,,College Of William And Mary,,,,,1176.000396,,,,,,,,,,22:08.864,,3:07.77,,0.1646,,,5:19.323,,5:19.323,,6:50.823,,,12:10.146,6:18.583,,18:28.729,3:40.135,22:08.864
17,48,,,Finished,,49,,Ncsu Crew,,,,,1176.001171,,,,,,,,,,22:18.024,,3:16.93,,0.1726,,,5:36.965,,5:36.965,,6:43.803,,,12:20.768,6:14.002,,18:34.770,3:43.254,22:18.024
17,49,,,Finished,,46,,Orlando Rowing Club,,,,,1176.001296,,,B. Watt,,,,,,,22:26.816,,3:25.73,,0.1803,,,5:33.400,,5:33.400,,6:51.242,,,12:24.642,6:13.501,,18:38.143,3:48.673,22:26.816
17,50,,,Finished,,19,,Rutgers University Womens Crew,,,,,1176.001586,,,,,,,,,,22:31.999,,3:30.91,,0.1848,,,5:28.766,,5:28.766,,6:54.211,,,12:22.977,6:26.533,,18:49.510,3:42.489,22:31.999
17,51,,,Finished,,40,,Vcu Crew Club,,,,,1176.002113,,,N. King,,,,,,,22:33.018,,3:31.93,,0.1857,,,5:33.861,,5:33.861,,6:54.291,,,12:28.152,6:16.886,,18:45.038,3:47.980,22:33.018
17,52,,,Finished,,44,,Middlebury College Alumni Rowing Association,,,,,1176.000992,,,S. Baldwin,,,,,,,22:33.877,,3:32.79,,0.1865,,,5:40.549,,5:40.549,,6:59.750,,,12:40.299,6:10.887,,18:51.186,3:42.691,22:33.877
17,53,,,Finished,,56,,Fairmount Rowing Association,,,,,1176.000679,,,E. White,,,,,,,22:37.180,,3:36.09,,0.1894,,,5:32.240,,5:32.240,,6:50.496,,,12:22.736,6:23.038,,18:45.774,3:51.406,22:37.180
17,54,,,Finished,,62,,Genesee Rowing Club,,,,,1176.000746,,,L. Spencer,,,,,,,22:46.100,,3:45.01,,0.1972,,,5:40.455,,5:40.455,,6:57.793,,,12:38.248,6:12.659,,18:50.907,3:55.193,22:46.100
17,55,,,Finished,,42,,Endicott College,,,,,1176.000609,,,B. Shanahan,,,,,,,23:07.871,,4:06.78,,0.2163,,,5:32.626,,5:32.626,,7:07.663,,,12:40.289,6:40.086,,19:20.375,3:47.496,23:07.871
17,56,,,Finished,,63,,Friends Of Vanderbilt Rowing Club,,,,,1176.00067,,,,,,,,,,23:16.107,,4:15.02,,0.2235,,,5:48.466,,5:48.466,,7:00.751,,,12:49.217,6:23.862,,19:13.079,4:03.028,23:16.107
17,57,,,Finished,,50,,Rensselaer Crew Club,,,,,1176.001506,,,D. Mahoney,,,,,,,23:18.429,,4:17.34,,0.2255,,,5:50.060,,5:50.060,,7:10.371,,,13:00.431,6:32.024,,19:32.455,3:45.974,23:18.429
17,58,,,Finished,,54,,Schenectady County Community College,,,,,1176.001613,,,M. Winnie,,,,,,,24:22.043,,5:20.95,,0.2813,,,6:29.253,,6:29.253,,7:14.792,,,13:44.045,6:29.809,,20:13.854,4:08.189,24:22.043
17,59,,,Finished,,57,,University Of New England Rowing Club,,,,,1176.002026,,,E. Beattie,,,,,,,25:22.034,,6:20.94,,0.3338,,,6:24.856,,6:24.856,,7:32.296,,,13:57.152,6:54.353,,20:51.505,4:30.529,25:22.034
17,60,,,Finished,,16,,Boston College,,,,,1176.000122,,,,,,,,,,25:48.302,,6:47.21,,0.3569,,,4:43.512,,4:43.512,,6:47.506,,,11:31.018,9:35.541,,21:06.559,4:41.743,25:48.302
17,61,,,Finished,,60,,Wayland-Weston Crew Alumni,,,,,1176.002142,,,E. Ralen,,,0:15,,"2-BG, 2-FG",,26:33.280,,7:32.19,,0.3963,,,6:30.921,,6:30.921,,8:00.993,,,14:31.914,7:11.358,,21:43.272,4:35.008,26:18.280
17,62,,,Finished,,32,,Franklin Pierce University,,,,,1176.000675,,,M. Miller,,,1:00,,8-IN,,28:36.978,,9:35.89,,0.5047,,,6:40.936,,6:40.936,,8:25.364,,,15:06.300,7:59.217,,23:05.517,4:31.461,27:36.978
17,63,,,Finished,,52,,Manhattan College,,,,,1176.000985,,,L. Piccorelli,,,,,,,29:30.905,,10:29.82,,0.5519,,,7:23.051,,7:23.051,,9:41.092,,,17:04.143,,,,,29:30.905
17,0,,,Scratch,,53,,Montreal Rowing Club,,,,,1176.0011,,,E. burr Tarrant,,,,,,,,,,,0,,,,,,,,,,,,,,,
