event_id,place,,,status,,lane_bow,club,,,,,,crew,,rower,,penalty,penalty_desc,time_official,,delta,percent,,split1,,,,cum1,,split2,,,cum2,split3,,cum3,splitF,cum4
27,1,,,Finished,,7,University Of New Hampshire,,,,,,1176.002027,,E. Lane,,,,19:30.913,,,0,,4:42.942,,,,4:42.942,,6:06.891,,,10:49.833,5:32.013,,16:21.846,3:09.067,19:30.913
27,2,,,Finished,,25,Nova Southeastern University,,,,,,1176.00123,,S. Woelfer,,,,19:31.187,,.28,0.0002,,4:44.647,,,,4:44.647,,6:04.816,,,10:49.463,5:27.581,,16:17.044,3:14.143,19:31.187
27,3,,,Finished,,1,Barry University,,,,,,1176.000219,,A. Foppoli,,,,19:42.894,,11.98,0.0102,,4:46.696,,,,4:46.696,,6:13.155,,,10:59.851,5:34.612,,16:34.463,3:08.431,19:42.894
27,4,,,Finished,,3,Bowdoin College,,,,,,1176.00013,,1 - E. Goodpasture,,,,20:04.807,,33.90,0.029,,4:54.712,,,,4:54.712,,6:12.871,,,11:07.583,5:41.719,,16:49.302,3:15.505,20:04.807
27,5,,,Finished,,2,University Of Chicago Crew,,,,,,1176.001986,,M. Quam,,,,20:08.099,,37.19,0.0318,,4:48.244,,,,4:48.244,,6:21.975,,,11:10.219,5:45.375,,16:55.594,3:12.505,20:08.099
27,6,,,Finished,,27,University Of Cincinnati Rowing Team,,,,,,1176.001987,,E. Flanagan,,,,20:15.281,,44.37,0.0379,,4:51.844,,,,4:51.844,,6:21.409,,,11:13.253,5:45.734,,16:58.987,3:16.294,20:15.281
27,7,,,Finished,,24,Franklin And Marshall College Crew,,,,,,1176.000631,,J. Radlo,,,,20:16.640,,45.73,0.0391,,4:59.727,,,,4:59.727,,6:23.626,,,11:23.353,5:37.803,,17:01.156,3:15.484,20:16.640
27,8,,,Finished,,8,Clemson University Rowing Association,,,,,,1176.000537,,M. Huegel,,,,20:17.862,,46.95,0.0401,,4:56.419,,,,4:56.419,,6:14.684,,,11:11.103,5:48.399,,16:59.502,3:18.360,20:17.862
27,9,,,Finished,,4,Trinity College Crew,,,,,,1176.001784,,T. Seckar,,,,20:19.124,,48.21,0.0412,,4:50.362,,,,4:50.362,,6:16.159,,,11:06.521,5:49.543,,16:56.064,3:23.060,20:19.124
27,10,,,Finished,,5,Philadelphia University,,,,,,1176.001402,,M. Gonzalez Romero,,,,20:19.991,,49.08,0.0419,,4:51.062,,,,4:51.062,,6:15.891,,,11:06.953,5:52.626,,16:59.579,3:20.412,20:19.991
