Year,Annual
1930,16.7
1931,15.1
1932,13.6
1933,12.8
1934,12.9
1935,13.3
1936,13.5
1937,14.2
1938,14.0
1939,13.9
1940,13.9
1941,14.7
1942,16.5
1943,17.3
1944,17.6
1945,18.1
1946,19.5
1947,22.0
1948,23.6
1949,23.6
1950,23.7
1951,25.7
1952,26.5
1953,26.7
1954,26.7
1955,26.7
1956,27.1
1957,28.0
1958,28.9
1959,29.4
1960,30.0
1961,30.3
1962,30.7
1963,31.1
1964,31.7
1965,32.4
1966,33.0
1967,33.8
1968,35.2
1969,36.8
1970,38.7
1971,40.1
1972,41.4
1973,43.7
1974,48.2
1975,53.3
1976,56.9
1977,60.8
1978,65.3
1979,72.3
1980,83.7
1981,91.9
1982,97.3
1983,99.1
1984,103.6
1985,108.4
1986,111.9
1987,116.7
1988,122.1
1989,128.3
1990,135.9
1991,141.4
1992,146.5
1993,150.3
1994,152.3
1995,154.6
1996,157.5
1997,160.0
1998,162.3
1999,166.1
2000,171.6
2001,177.3
2002,182.2
2003,187.0
2004,193.2
2005,201.8
2006,210.4
2007,217.338
2008,225.008
2009,223.219
2010,225.894
2011,231.928
2012,236.648
2013,239.207
2014,242.434
2015,244.632

