"","Tick","Count"
"1","001CT",0
"2","002CT",1007
"3","004CT",0
"4","005CT",855
"5","006CT",0
"6","007CT",4063
"7","011CT",936
"8","012CT",210
"9","013CT",223
"10","061NY",0
"11","062NY",6
"12","063NY",3132
"13","088NY",0
"14","091NY",31
"15","2FT69",0
"16","2FT80",0
"17","BLA02.12",700
"18","DR12GF",4
"19","DR13GF",0
"20","DR14GF",1
"21","DR17GF",1
"22","DR19GF",1
"23","DR21GF",1
"24","DR23GM",0
"25","DR28GM",0
"26","DR4HF",0
"27","DR6HF",0
"28","FT384",209
"29","FT66",11
"30","HAL02.01",0
"31","HAL03.01",0
"32","HAL03.02",3
"33","HAL03.04",190
"34","HAL03.05",208
"35","HAL03.06",0
"36","Ixs02",35
"37","Ixs03",1
"38","Ixs05",0
"39","Ixs06",1
"40","Ixs07",1
"41","Ixs10",155
"42","Ixs101",45
"43","Ixs102",0
"44","Ixs103",67
"45","Ixs104",1
"46","Ixs107",0
"47","Ixs108",0
"48","Ixs109",1
"49","Ixs11",282
"50","Ixs110",118
"51","JON03.07",711
"52","JON03.08",960
"53","RJB01",0
"54","RJB02",1
"55","RJB04",730
"56","RJB06",0
"57","RJB07",0
"58","RJB09",1
"59","RJB10",360
"60","RJB11",1
"61","RJB13",128
"62","RJB14",33
"63","RJB15",192
"64","RJB16",279
"65","RJB17",1569
"66","RJB18",2460
"67","RJB19",0
"68","RJB20",1
"69","RJB21",4652
"70","RJB23",16
"71","RJB24",0
"72","RJB26",0
"73","RJB27",1
"74","RJB29",1078
"75","RJB30",206
"76","RJB31",0
"77","RJB32",178
"78","RJB33",0
"79","RJB34",0
"80","RJB35",1015
"81","RJB36",2696
"82","RJB37",1744
"83","RJB38",3330
"84","RJB39",3990
"85","RJB40",3679
"86","RJB41",0
"87","RJB42",150
"88","RJB43",1407
"89","RJB44",3
"90","RJB45",0
"91","WAS01.01",700
"92","WAS01.02",312
