club,city,state/province,country,federation
1863 Boat Club,Boston,Massachusetts,US,USA
1927 Cambridge,London,London,GB,GBR
1927 Oxford,London,London,GB,GBR
1980 Rowing Club,Cambridge,Massachusetts,US,USA
612endurance Racing,Minneapolis,Minnesota,US,USA
87 Gold Rowing Club,Boston,Massachusetts,US,USA
A.a.s.r. Skoll,Amsterdam,,NL,NED
A.u.s.r. Orca,Utrecht,Utrecht,NL,NED
Aberdeen Boat Club,Aberdeen,Scotland,GB,GBR
Advanced Community Rowing Association Inc.,Nyack,New York,US,USA
Adventure Out!,Pittsford,New York,US,USA
Aging Aggies Rowing Program,New York,New York,US,USA
Akamai,Cambridge,Massachusetts,US,USA
Albany Rowing Center,Albany,New York,US,USA
Alexandria Community Rowing,Alexandria,Virginia,US,USA
"All-American Rowing Camp, Llc",Oak Ridge,Tennessee,US,USA
Alumni Of Rutgers Rowing,Rutherford,New Jersey,US,USA
Ambience Rowing,Edgewater,New Jersey,US,USA
American University Crew Team,Washington,D.C.,US,USA
Amherst College Alumni Rowing Association,Amherst,Massachusetts,US,USA
Amherst College Rowing Association,Amherst,Massachusetts,US,USA
Amoskeag Rowing Club,Hooksett,New Hampshire,US,USA
Ana Rowing Club,Perth,Washington,AU,AUS
Ancient Mariners Rowing Club,Seattle,Washington,US,USA
Ann Arbor Huron High School,Ann Arbor,Michigan,US,USA
Ann Arbor Rowing Club,Ann Arbor,Michigan,US,USA
Annapolis Junior Rowing Association,Annapolis,Maryland,US,USA
Anthony Wayne High School Crew,Whitehouse,Ohio,US,USA
Archbishop Carroll High School,Radnor,Pennsylvania,US,USA
Argonaut Rowing Club,Toronto,Ontario,CA,CAN
Argonauten Ruderclub Meppen,Meppen,,DE,GER
Arlington Rowing Association - Arlington H.s.,Pleasant Valley,New York,US,USA
Arlington-Belmont Crew,Arlington,Massachusetts,US,USA
Army Rowing Club,Reading,,GB,GBR
Atlanta Junior Rowing Association,Roswell,Georgia,US,USA
Atlanta Rowing Club,Atlanta,Georgia,US,USA
Atomic Rowing,Oak Ridge,Tennessee,US,USA
Austin Rowing Club,Austin,Texas,US,USA
Avalon Rowing Club,Washington,D.C.,US,USA
