ID,Description
gene0,ID=gene0;Name=dnaA;Dbxref=GeneID:1029426;gbkey=Gene;gene=dnaA;locus_tag=SMU_01;old_locus_tag=SMU.01
gene2,ID=gene2;Name=SMU_05;Dbxref=GeneID:1029438;gbkey=Gene;locus_tag=SMU_05;old_locus_tag=SMU.05
gene3,ID=gene3;Name=SMU_06;Dbxref=GeneID:1029413;gbkey=Gene;locus_tag=SMU_06;old_locus_tag=SMU.06
gene5,ID=gene5;Name=trcF;Dbxref=GeneID:1029400;gbkey=Gene;gene=trcF;locus_tag=SMU_08;old_locus_tag=SMU.08
gene10,ID=gene10;Name=SMU_13;Dbxref=GeneID:1029348;gbkey=Gene;locus_tag=SMU_13;old_locus_tag=SMU.13
gene11,ID=gene11;Name=hprT;Dbxref=GeneID:1027835;gbkey=Gene;gene=hprT;locus_tag=SMU_14;old_locus_tag=SMU.14
gene12,ID=gene12;Name=ftsH;Dbxref=GeneID:1029422;gbkey=Gene;gene=ftsH;locus_tag=SMU_15;old_locus_tag=SMU.15
gene13,ID=gene13;Name=SMU_16;Dbxref=GeneID:1029331;gbkey=Gene;locus_tag=SMU_16;old_locus_tag=SMU.16
gene15,ID=gene15;Name=SMU_r01;Dbxref=GeneID:2886073;gbkey=Gene;locus_tag=SMU_r01
gene17,ID=gene17;Name=SMU_r02;Dbxref=GeneID:2886069;gbkey=Gene;locus_tag=SMU_r02
gene25,ID=gene25;Name=SMU_t08;Dbxref=GeneID:2886049;gbkey=Gene;locus_tag=SMU_t08
gene28,ID=gene28;Name=SMU_t11;Dbxref=GeneID:2886097;gbkey=Gene;locus_tag=SMU_t11
gene30,ID=gene30;Name=SMU_t13;Dbxref=GeneID:2886100;gbkey=Gene;locus_tag=SMU_t13
gene35,ID=gene35;Name=SMU_t18;Dbxref=GeneID:2886080;gbkey=Gene;locus_tag=SMU_t18
gene36,ID=gene36;Name=mreC;Dbxref=GeneID:1029606;gbkey=Gene;gene=mreC;locus_tag=SMU_20;old_locus_tag=SMU.20
gene37,ID=gene37;Name=mreD;Dbxref=GeneID:1029607;gbkey=Gene;gene=mreD;locus_tag=SMU_21;old_locus_tag=SMU.21
gene38,ID=gene38;Name=gbpB;Dbxref=GeneID:1029610;gbkey=Gene;gene=gbpB;gene_synonym=sagA;locus_tag=SMU_22;old_locus_tag=SMU.22
gene40,ID=gene40;Name=SMU_24;Dbxref=GeneID:1029609;gbkey=Gene;locus_tag=SMU_24;old_locus_tag=SMU.24
gene42,ID=gene42;Name=plsX;Dbxref=GeneID:1029612;gbkey=Gene;gene=plsX;locus_tag=SMU_26;old_locus_tag=SMU.26
gene44,ID=gene44;Name=SMU_28;Dbxref=GeneID:1029614;gbkey=Gene;locus_tag=SMU_28;old_locus_tag=SMU.28
gene46,ID=gene46;Name=purL;Dbxref=GeneID:1029618;gbkey=Gene;gene=purL;locus_tag=SMU_30;old_locus_tag=SMU.30
gene50,ID=gene50;Name=purM;Dbxref=GeneID:1029622;gbkey=Gene;gene=purM;locus_tag=SMU_34;old_locus_tag=SMU.34
gene52,ID=gene52;Name=SMU_36;Dbxref=GeneID:1029624;gbkey=Gene;locus_tag=SMU_36;old_locus_tag=SMU.36
gene53,ID=gene53;Name=purH;Dbxref=GeneID:1029616;gbkey=Gene;gene=purH;locus_tag=SMU_37;old_locus_tag=SMU.37
gene54,ID=gene54;Name=SMU_38c;Dbxref=GeneID:1029617;gbkey=Gene;locus_tag=SMU_38c;old_locus_tag=SMU.38c
gene55,ID=gene55;Name=SMU_39;Dbxref=GeneID:1029626;gbkey=Gene;locus_tag=SMU_39;old_locus_tag=SMU.39
gene59,ID=gene59;Name=SMU_43;Dbxref=GeneID:1029630;gbkey=Gene;locus_tag=SMU_43;old_locus_tag=SMU.43
gene60,ID=gene60;Name=SMU_44;Dbxref=GeneID:1029632;gbkey=Gene;locus_tag=SMU_44;old_locus_tag=SMU.44
gene61,ID=gene61;Name=SMU_45;Dbxref=GeneID:1029633;gbkey=Gene;locus_tag=SMU_45;old_locus_tag=SMU.45
gene64,ID=gene64;Name=purD;Dbxref=GeneID:1029636;gbkey=Gene;gene=purD;locus_tag=SMU_48;old_locus_tag=SMU.48
gene65,ID=gene65;Name=SMU_49;Dbxref=GeneID:1029634;gbkey=Gene;locus_tag=SMU_49;old_locus_tag=SMU.49
gene66,ID=gene66;Name=purE;Dbxref=GeneID:1029631;gbkey=Gene;gene=purE;locus_tag=SMU_50;old_locus_tag=SMU.50
gene67,ID=gene67;Name=purK;Dbxref=GeneID:1029640;gbkey=Gene;gene=purK;locus_tag=SMU_51;old_locus_tag=SMU.51
gene68,ID=gene68;Name=SMU_52;Dbxref=GeneID:1029637;gbkey=Gene;locus_tag=SMU_52;old_locus_tag=SMU.52
gene69,ID=gene69;Name=SMU_53;Dbxref=GeneID:1029639;gbkey=Gene;locus_tag=SMU_53;old_locus_tag=SMU.53
gene70,ID=gene70;Name=SMU_54;Dbxref=GeneID:1029638;gbkey=Gene;locus_tag=SMU_54;old_locus_tag=SMU.54
gene71,ID=gene71;Name=SMU_55;Dbxref=GeneID:1029641;gbkey=Gene;locus_tag=SMU_55;old_locus_tag=SMU.55
gene73,ID=gene73;Name=SMU_58;Dbxref=GeneID:1029643;gbkey=Gene;locus_tag=SMU_58;old_locus_tag=SMU.58
gene74,ID=gene74;Name=purB;Dbxref=GeneID:1029647;gbkey=Gene;gene=purB;locus_tag=SMU_59;old_locus_tag=SMU.59
gene75,ID=gene75;Name=SMU_60;Dbxref=GeneID:1029646;gbkey=Gene;locus_tag=SMU_60;old_locus_tag=SMU.60
gene77,ID=gene77;Name=SMU_63c;Dbxref=GeneID:1029648;gbkey=Gene;locus_tag=SMU_63c;old_locus_tag=SMU.63c
gene78,ID=gene78;Name=ruvB;Dbxref=GeneID:1029650;gbkey=Gene;gene=ruvB;locus_tag=SMU_64;old_locus_tag=SMU.64
gene79,ID=gene79;Name=SMU_65;Dbxref=GeneID:1029651;gbkey=Gene;locus_tag=SMU_65;old_locus_tag=SMU.65
gene80,ID=gene80;Name=SMU_66;Dbxref=GeneID:1029649;gbkey=Gene;locus_tag=SMU_66;old_locus_tag=SMU.66
gene82,ID=gene82;Name=SMU_68;Dbxref=GeneID:1029645;gbkey=Gene;locus_tag=SMU_68;old_locus_tag=SMU.68
gene83,ID=gene83;Name=thrC;Dbxref=GeneID:1029655;gbkey=Gene;gene=thrC;locus_tag=SMU_70;old_locus_tag=SMU.70
gene89,ID=gene89;Name=SMU_76;Dbxref=GeneID:1029661;gbkey=Gene;locus_tag=SMU_76;old_locus_tag=SMU.76
gene90,ID=gene90;Name=fruA;Dbxref=GeneID:1029658;gbkey=Gene;gene=fruA;locus_tag=SMU_78;old_locus_tag=SMU.78
