lat,long,group,order,notes
42.353429,-71.10775,1,1,bu
42.351911,-71.107961,1,2,
42.352165,-71.112758,1,3,
42.354845,-71.117736,1,4,
42.358032,-71.117736,1,5,end
42.358056,-71.112795,1,6,riversid boad house
42.355384,-71.115644,1,7,
42.35494,-71.115183,1,8,
42.353101,-71.110859,1,9,
42.353429,-71.10775,1,10,bu
42.358032,-71.117736,2,1,
42.358056,-71.112795,2,2,
42.364257,-71.116315,2,3,
42.366302,-71.116165,2,4,
42.369124,-71.117753,2,5,
42.369378,-71.122113,2,6,Weld boat house
42.368284,-71.122854,2,7,end
42.368126,-71.118573,2,8,
42.366501,-71.117693,2,9,
42.364226,-71.117532,2,10,
42.356582,-71.117253,2,11,
42.358032,-71.117736,1,5,
42.369378,-71.122113,3,1,Weld boat house
42.368284,-71.122854,3,2,
42.369663,-71.125418,3,3,
42.372152,-71.126823,3,4,
42.373476,-71.125754,3,5,
42.373603,-71.1309,3,6,
42.372683,-71.132713,3,7,
42.372295,-71.132703,3,8,end
42.372168,-71.133733,3,9,cambridge boat club
42.37388,-71.132295,3,10,
42.374292,-71.130214,3,11,
42.373952,-71.128197,3,12,
42.372026,-71.125278,3,13,
42.371011,-71.124517,3,14,
42.36983,-71.123873,3,15,
42.36922,-71.122982,3,16,
42.369378,-71.122113,3,17,Weld boat house
42.372295,-71.132703,4,1,end
42.372168,-71.133733,4,2,cambridge boat club
42.371497,-71.133244,4,3,
42.370228,-71.132472,4,4,
42.369341,-71.13274,4,5,
42.368358,-71.133974,4,6,
42.367193,-71.136806,4,7,finish
42.366495,-71.13627,4,8,end
42.36766,-71.133352,4,9,
42.369135,-71.131324,4,10,
42.369816,-71.131077,4,11,
42.371069,-71.131635,4,12,
42.371941,-71.132525,4,13,
42.372295,-71.132703,4,14,
