event_id,place,,,status,,lane_bow,club,,,,,crew,,rower,,,,penalty,,penalty_desc,,time_official,delta,,percent,,,split1,,cum1,,,,split2,,cum2,,split3,cum3,,splitF,cum4
46,1,,,Finished,,1,Camp Randall Rowing Club,,,,,1176.000496,,,,,,,,,,16:08.535,,,0,,,3:48.487,,3:48.487,,,,5:13.726,,9:02.213,,4:31.865,13:34.078,,2:34.457,16:08.535
46,2,,,Finished,,2,Cambridge University Boat Club,,,,,1176.000526,,L. Tredell,,,,,,,,16:09.853,1.31,,0.0014,,,3:50.037,,3:50.037,,,,5:12.294,,9:02.331,,4:32.227,13:34.558,,2:35.295,16:09.853
46,3,,,Finished,,10,"University Of California, Berkeley",,,,,1176.001983,,A. Wright,,,,,,,,16:16.803,8.26,,0.0085,,,3:49.144,,3:49.144,,,,5:11.549,,9:00.693,,4:37.482,13:38.175,,2:38.628,16:16.803
46,4,,,Finished,,9,Princeton University,,,,,1176.001405,,L. Toch,,,,,,,,16:25.366,16.83,,0.0174,,,3:51.769,,3:51.769,,,,5:16.435,,9:08.204,,4:38.352,13:46.556,,2:38.810,16:25.366
46,5,,,Finished,,12,George Washington University,,,,,1176.000774,,B. Delaney,,,,,,,,16:27.845,19.31,,0.0199,,,3:51.134,,3:51.134,,,,5:16.561,,9:07.695,,4:40.771,13:48.466,,2:39.379,16:27.845
46,6,,,Finished,,7,Northeastern University,,,,,1176.001238,,O. Bang-Andreasen,,,,,,,,16:30.239,21.70,,0.0224,,,3:50.832,,3:50.832,,,,5:22.995,,9:13.827,,4:40.678,13:54.505,,2:35.734,16:30.239
46,7,,,Finished,,3,University Of Washington,,,,,1176.002063,,E. Benca,,,,,,,,16:33.433,24.89,,0.0257,,,3:57.607,,3:57.607,,,,5:21.134,,9:18.741,,4:38.844,13:57.585,,2:35.848,16:33.433
46,8,,,Finished,,13,Yale University Crew,,,,,1176.002233,,H. Bird,,,,,,,,16:38.930,30.39,,0.0314,,,3:52.830,,3:52.830,,,,5:19.814,,9:12.644,,4:43.842,13:56.486,,2:42.444,16:38.930
46,9,,,Finished,,4,Florida Institute of Technology,,,,,1176.000643,,C. Green,,,,,,,,16:43.734,35.19,,0.0363,,,3:56.681,,3:56.681,,,,5:20.531,,9:17.212,,4:47.417,14:04.629,,2:39.105,16:43.734
46,10,,,Finished,,14,Brown University Crew,,,,,1176.000225,,R. Biggs,,,,,,,,16:47.254,38.71,,0.04,,,3:55.376,,3:55.376,,,,5:24.606,,9:19.982,,4:47.994,14:07.976,,2:39.278,16:47.254
46,11,,,Finished,,8,Harvard University,,,,,1176.000826,,D. Glover,,,,,,,,17:00.240,51.70,,0.0534,,,4:02.421,,4:02.421,,,,5:23.427,,9:25.848,,4:51.682,14:17.530,,2:42.710,17:00.240
46,12,,,Finished,,15,University Of Pennsylvania Crew,,,,,1176.002032,,,,,,,,,,17:03.098,54.56,,0.0563,,,3:56.952,,3:56.952,,,,5:32.042,,9:28.994,,4:49.471,14:18.465,,2:44.633,17:03.098
46,13,,,Finished,,11,Purdue University Crew,,,,,1176.001416,,W. Nogay,,,,,,,,17:44.546,1:36.01,,0.0991,,,4:14.856,,4:14.856,,,,5:42.658,,9:57.514,,5:00.830,14:58.344,,2:46.202,17:44.546
46,14,,,Finished,,6,Cornell University Crew,,,,,1176.000528,,I. Boor,,,,1:00,,7A-IN,,18:16.474,2:07.93,,0.1321,,,3:58.865,,3:58.865,,,,5:43.427,,9:42.292,,4:50.316,14:32.608,,2:43.866,17:16.474
46,0,,,DNS,,5,University Of Wisconsin,,,,,1176.002066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
