event_id,place,,,status,,lane_bow,,club,,,,,,crew,,rower,,,penalty,,penalty_desc,,time_official,,,delta,,percent,,split1,,cum1,,,split2,,cum2,,split3,cum3,splitF,cum4
16,1,,,Finished,,1,,Union Boat Club,,,,,,1176.001877,,T. Moore,,,,,,,16:54.5,,,,,0,,03:59.8,,03:59.8,,,05:11.5,,09:11.3,,04:46.9,13:58.2,02:56.3,16:54.5
16,2,,,Finished,,2,,Merrimac River Rowing Association,,,,,,1176.001105,,T. Cotreau,,,,,,,17:05.5,,,10.99,,0.0108,,04:07.7,,04:07.7,,,05:15.8,,09:23.5,,04:48.3,14:11.8,02:53.8,17:05.5
16,3,,,Finished,,32,,Thames Rowing Club,,,,,,1176.001813,,O. Nixon,,,,,,,17:14.4,,,19.84,,0.0196,,04:09.9,,04:09.9,,,05:18.5,,09:28.4,,04:56.1,14:24.5,02:49.9,17:14.4
16,4,,,Finished,,44,,Dartmouth College,,,,,,1176.000558,,,,,,,,,17:28.4,,,33.88,,0.0334,,04:11.0,,04:11.0,,,05:24.5,,09:35.5,,04:59.4,14:34.9,02:53.5,17:28.4
16,5,,,Finished,,5,,Lufthansa Sportverein Hamburg E.v.,,,,,,1176.000934,,G. Mimberg,,,,,,,17:33.7,,,39.13,,0.0386,,04:14.8,,04:14.8,,,05:24.4,,09:39.2,,04:52.9,14:32.1,03:01.5,17:33.7
16,6,,,Finished,,3,,Wilmington Rowing Center,,,,,,1176.002181,,I. Baldychev,,,,,,,17:39.6,,,45.1,,0.0445,,04:10.2,,04:10.2,,,05:27.5,,09:37.7,,04:57.1,14:34.8,03:04.9,17:39.6
16,7,,,Finished,,27,,"Community Rowing, Inc.",,,,,,1176.000449,,P. Preiss,,,,,,,17:42.2,,,47.65,,0.047,,04:12.6,,04:12.6,,,05:30.6,,09:43.2,,05:01.8,14:45.0,02:57.1,17:42.2
16,8,,,Finished,,14,,University Of Rhode Island Crew,,,,,,1176.002038,,C. McMillian,,,,,,,17:46.2,,,51.68,,0.0509,,04:07.3,,04:07.3,,,05:34.5,,09:41.9,,04:58.6,14:40.5,03:05.8,17:46.2
16,9,,,Finished,,36,,Newport Aquatic Center,,,,,,1176.001132,,N. D'Antoni,,,,,,,17:47.7,,,53.16,,0.0524,,04:16.5,,04:16.5,,,05:29.8,,09:46.2,,04:59.9,14:46.2,03:01.5,17:47.7
16,10,,,Finished,,7,,University of Minnesota Alumni,,,,,,1176.002004,,G. Munger,,,,,,,17:50.9,,,56.33,,0.0555,,04:20.4,,04:20.4,,,05:31.4,,09:51.8,,04:57.5,14:49.2,03:01.6,17:50.9
