event_id,place,,,status,,lane_bow,club,,,,,,crew,,,rower,,,penalty,,penalty_desc,time_official,,delta,,,percent,,split1,,,cum1,,split2,,,cum2,split3,,cum3,splitF,cum4
26,1,,,Finished,,11,University Of Notre Dame Mens Crew Club,,,,,,1176.002023,,,R. Curtis,,,,,,17:09.684,,,,,0,,4:11.669,,,4:11.669,,5:21.364,,,9:33.033,4:50.687,,14:23.720,2:45.964,17:09.684
26,2,,,Finished,,12,Trent University Rowing,,,,,,1176.001856,,,J. Dyer,,,,,,17:12.557,,2.88,,,0.0028,,4:12.947,,,4:12.947,,5:24.540,,,9:37.487,4:42.573,,14:20.060,2:52.497,17:12.557
26,3,,,Finished,,1,University Of Virginia Rowing Association,,,,,,1176.002055,,,F. Vasquez,,,,,,17:16.293,,6.61,,,0.0064,,4:13.628,,,4:13.628,,5:25.951,,,9:39.579,4:48.290,,14:27.869,2:48.424,17:16.293
26,4,,,Finished,,2,Marietta College,,,,,,1176.000981,,,J. Gleim,,,,,,17:27.307,,17.63,,,0.0171,,4:20.178,,,4:20.178,,5:27.529,,,9:47.707,4:50.444,,14:38.151,2:49.156,17:27.307
26,5,,,Finished,,5,UNC Men's Crew,,,,,,1176.00191,,,J. Chang,,,,,,17:27.581,,17.90,,,0.0174,,4:19.245,,,4:19.245,,5:22.622,,,9:41.867,4:53.511,,14:35.378,2:52.203,17:27.581
26,6,,,Finished,,31,Colby College Crew,,,,,,1176.000345,,,E. Ashley,,,,,,17:36.978,,27.30,,,0.0265,,4:13.868,,,4:13.868,,5:32.921,,,9:46.789,4:59.670,,14:46.459,2:50.519,17:36.978
26,7,,,Finished,,22,University Of Connecticut,,,,,,1176.00198,,,C. O Riada,,,,,,17:44.829,,35.15,,,0.0341,,4:26.543,,,4:26.543,,5:29.808,,,9:56.351,4:58.731,,14:55.082,2:49.747,17:44.829
26,8,,,Finished,,6,University Of Massachusetts Crew,,,,,,1176.002007,,,R. MILLER,,,,,,17:50.831,,41.15,,,0.04,,4:18.253,,,4:18.253,,5:30.394,,,9:48.647,5:07.478,,14:56.125,2:54.706,17:50.831
26,9,,,Finished,,10,Milwaukee School Of Engineering (msoe),,,,,,1176.001118,,,F. Finucane,,,,,,17:50.876,,41.20,,,0.04,,4:17.175,,,4:17.175,,5:37.298,,,9:54.473,4:58.727,,14:53.200,2:57.676,17:50.876
26,10,,,Finished,,40,Boston College,,,,,,1176.000125,,,,,,,,,17:53.899,,44.22,,,0.0429,,4:18.839,,,4:18.839,,5:32.682,,,9:51.521,5:05.690,,14:57.211,2:56.688,17:53.899
26,11,,,Finished,,3,Bowdoin College,,,,,,1176.000128,,,1 - J. Houston,,,,,,17:54.653,,44.97,,,0.0437,,4:20.862,,,4:20.862,,5:30.745,,,9:51.607,5:00.505,,14:52.112,3:02.541,17:54.653
26,12,,,Finished,,4,Michigan Rowing Association,,,,,,1176.001053,,,W. Denman,,,,,,18:03.735,,54.06,,,0.0525,,4:25.008,,,4:25.008,,5:39.859,,,10:04.867,5:04.028,,15:08.895,2:54.840,18:03.735
26,13,,,Finished,,14,Carleton University,,,,,,1176.00052,,,D. Sutherland,,,,,,18:04.521,,54.84,,,0.0533,,4:21.532,,,4:21.532,,5:34.975,,,9:56.507,5:10.326,,15:06.833,2:57.688,18:04.521
26,14,,,Finished,,41,University Of Illinois Rowing,,,,,,1176.002,,,J. Pieper,,,,,,18:04.589,,54.91,,,0.0533,,4:15.805,,,4:15.805,,5:43.766,,,9:59.571,5:10.175,,15:09.746,2:54.843,18:04.589
26,15,,,Finished,,15,Western Washington Universty,,,,,,1176.002218,,,N. Jensen,,,,,,18:06.413,,56.73,,,0.0551,,4:22.936,,,4:22.936,,5:34.099,,,9:57.035,5:07.337,,15:04.372,3:02.041,18:06.413
26,16,,,Finished,,43,St. John Fisher College Rowing,,,,,,1176.001664,,,M. Wolcott,,,,,,18:10.316,,1:00.64,,,0.0589,,4:28.332,,,4:28.332,,5:41.851,,,10:10.183,5:09.002,,15:19.185,2:51.131,18:10.316
26,17,,,Finished,,27,Binghamton University Crew,,,,,,1176.000227,,,F. Ostrander,,,,,,18:11.044,,1:01.36,,,0.0596,,4:29.298,,,4:29.298,,5:37.391,,,10:06.689,5:08.477,,15:15.166,2:55.878,18:11.044
