event_id,place,,,status,,lane_bow,club,,,,,,crew,,rower,,,,penalty,penalty_desc,,time_official,,delta,,,percent,,split1,,,cum1,,split2,,,cum2,split3,cum3,,splitF,cum4
50,1,,,Finished,,2,Hobart College,,,,,,1176.000782,,1 - A. Wherry,,,,,,,15:32.704,,,,,0,,3:38.080,,,3:38.080,,5:07.460,,,8:45.540,4:19.921,13:05.461,,2:27.243,15:32.704
50,2,,,Finished,,5,University of Delaware Men's Crew,,,,,,1176.001993,,,,,,,,,15:37.273,,4.57,,,0.0049,,3:35.577,,,3:35.577,,5:07.004,,,8:42.581,4:24.516,13:07.097,,2:30.176,15:37.273
50,3,,,Finished,,7,Williams College Boat Club,,,,,,1176.002144,,1 - A. Rondeau,,,,,,,15:38.892,,6.19,,,0.0066,,3:40.851,,,3:40.851,,5:06.243,,,8:47.094,4:23.541,13:10.635,,2:28.257,15:38.892
50,4,,,Finished,,12,Massachusetts Institute Of Technology,,,,,,1176.001011,,C. McMahan,,,,,,,15:39.343,,6.64,,,0.0071,,3:34.138,,,3:34.138,,5:04.361,,,8:38.499,4:27.895,13:06.394,,2:32.949,15:39.343
50,5,,,Finished,,4,University Of Virginia Rowing Association,,,,,,1176.002057,,A. Heinzman,,,,,,,15:39.404,,6.70,,,0.0072,,3:38.002,,,3:38.002,,5:06.848,,,8:44.850,4:24.710,13:09.560,,2:29.844,15:39.404
50,6,,,Finished,,6,Wpi Crew,,,,,,1176.002141,,M. Beinor,,,,,,,15:41.849,,9.15,,,0.0098,,3:35.724,,,3:35.724,,5:06.743,,,8:42.467,4:27.897,13:10.364,,2:31.485,15:41.849
50,7,,,Finished,,14,"University Of California, Santa Barbara",,,,,,1176.001989,,L. Bowers,,,,,,,15:44.136,,11.44,,,0.0123,,3:38.336,,,3:38.336,,5:07.750,,,8:46.086,4:27.276,13:13.362,,2:30.774,15:44.136
50,8,,,Finished,,10,Drexel University,,,,,,1176.000598,,D. Dollin,,,,,,,15:44.724,,12.02,,,0.0129,,3:39.485,,,3:39.485,,5:05.739,,,8:45.224,4:28.118,13:13.342,,2:31.382,15:44.724
50,9,,,Finished,,40,University Of Cincinnati Rowing Team,,,,,,1176.001988,,Z. Tucker,,,,,,,15:45.054,,12.35,,,0.0132,,3:40.938,,,3:40.938,,5:05.336,,,8:46.274,4:26.432,13:12.706,,2:32.348,15:45.054
50,10,,,Finished,,3,Grand Valley State University Rowing Club,,,,,,1176.00077,,R. Hiner,,,,,,,15:48.030,,15.33,,,0.0164,,3:42.020,,,3:42.020,,5:08.684,,,8:50.704,4:26.312,13:17.016,,2:31.014,15:48.030
50,11,,,Finished,,9,Trinity College Crew,,,,,,1176.001785,,G. Demoulas,,,,,,,15:50.661,,17.96,,,0.0193,,3:41.346,,,3:41.346,,5:08.131,,,8:49.477,4:26.998,13:16.475,,2:34.186,15:50.661
50,12,,,Finished,,8,Boston College,,,,,,1176.000127,,J. Scaduto,,,,,,,15:53.227,,20.53,,,0.022,,3:44.000,,,3:44.000,,5:11.191,,,8:55.191,4:28.294,13:23.485,,2:29.742,15:53.227
50,13,,,Finished,,20,Wesleyan University,,,,,,1176.002211,,A. Preminger,,,,,,,15:53.324,,20.62,,,0.0221,,3:38.085,,,3:38.085,,5:12.251,,,8:50.336,4:31.384,13:21.720,,2:31.604,15:53.324
