id,name,lat,long
1,"Start, BU Boathouse",42.352936,-71.107815
2,BU Bridge,42.353013,-71.110555
3,Magazine Beach,42.354975,-71.115151
4,Reverside Boat Club,42.358062,-71.116143
5,River Street Bridge,42.361438,-71.116198
6,Western Avenue Bridge,42.36429,-71.116291
7,Weeks Footbridge,42.368875,-71.117714
8,Anderson Bridge,42.369172,-71.123037
9,Newell Boathouse,42.369774,-71.125653
10,Hawthorne Street,42.373253,-71.126877
11,Sparks Street,42.374262,-71.130679
12,Cambridge Boat Club,42.372245,-71.133643
13,Belmont Hill,42.370683,-71.132525
14,Parking Area,42.368581,-71.13207
15,Finish,42.367362,-71.136539
