event_id,event,race_id,race_no,date,race_start,entries,distance,sex,cox
1,Men's Senior Veteran Singles I And II [70+],Final,0,10/17/2015,8:00:00 AM,50,4800,m,0
2,"Women's Veteran I/II And Senior Veteran I/II Singles [60 - 69, 70+]",Final,0,10/17/2015,8:20:00 AM,59,4800,w,0
3,Men's Veteran Singles I And II [60+],Final,0,10/17/2015,8:55:00 AM,52,4800,m,0
4,Men's Grand Master Singles [50+],Final,0,10/17/2015,9:20:00 AM,59,4800,m,0
5,Women's Grand Master Singles [50+],Final,0,10/17/2015,9:42:00 AM,33,4800,w,0
6,Men's Senior Master Eights [50+],Final,0,10/17/2015,10:05:00 AM,56,4800,m,1
7,Women's Senior Master Eights [50+],Final,0,10/17/2015,10:26:00 AM,35,4800,w,1
8,Men's Senior Master Fours [50+],Final,0,10/17/2015,10:44:00 AM,54,4800,m,1
9,Women's Senior Master Fours [50+],Final,0,10/17/2015,11:05:00 AM,49,4800,w,1
10,Men's Senior Master Doubles [50+],Final,0,10/17/2015,11:30:00 AM,34,4800,m,0
11,Women's Senior Master Doubles [50+],Final,0,10/17/2015,11:45:00 AM,39,4800,w,0
12,Men's Senior Master Singles [40+],Final,0,10/17/2015,12:03:00 PM,32,4800,m,0
13,Women's Senior Masters Singles [40+],Final,0,10/17/2015,12:15:00 PM,30,4800,w,0
14,Men's Alumni Eights,Final,0,10/17/2015,12:32:00 PM,57,4800,m,1
15,Women's Alumni Eights,Final,0,10/17/2015,12:54:00 PM,48,4800,w,1
16,Men's Club Fours,Final,0,10/17/2015,1:15:00 PM,54,4800,m,1
17,Women's Club Fours,Final,0,10/17/2015,1:35:00 PM,64,4800,w,1
18,Men's Club Eights,Final,0,10/17/2015,2:04:00 PM,41,4800,m,1
19,Women's Club Eights,Final,0,10/17/2015,2:19:00 PM,38,4800,w,1
20,Men's Master Fours [40+],Final,0,10/17/2015,2:36:00 PM,32,4800,m,1
21,Women's Master Fours [40+],Final,0,10/17/2015,2:49:00 PM,28,4800,w,1
22,Men's Master Eights [40+],Final,0,10/17/2015,3:08:00 PM,20,4800,m,1
23,Women's Master Eights [40+],Final,0,10/17/2015,3:19:00 PM,23,4800,w,1
24,Men's Championship Doubles,Final,0,10/17/2015,3:33:00 PM,16,4800,m,0
25,Women's Championship Doubles,Final,0,10/17/2015,3:42:00 PM,18,4800,w,0
26,Men's Collegiate Fours,Final,0,10/17/2015,3:54:00 PM,46,4800,m,1
