group,split,order,id,lat,long
1,Riverside,1,4,42.352936,-71.107815
1,Riverside,2,3,42.351975,-71.107908
1,Riverside,3,2,42.352216,-71.110704
1,Riverside,4,7,42.352230,-71.112950
1,Riverside,5,6,42.354173,-71.116824
1,Riverside,6,10,42.356031,-71.118138
1,Riverside,7,9,42.358070,-71.117656
1,Riverside,8,8,42.358062,-71.116143
1,Riverside,9,11,42.356493,-71.115904
1,Riverside,10,5,42.354975,-71.115151
1,Riverside,11,1,42.353013,-71.110555
1,Riverside,12,4,42.352936,-71.107815
2,Weld,1,61,42.369332,-71.122121
2,Weld,2,62,42.368181,-71.122105
2,Weld,3,24,42.368132,-71.121483
2,Weld,4,25,42.368302,-71.119492
2,Weld,5,19,42.368143,-71.118490
2,Weld,6,20,42.366519,-71.117674
2,Weld,7,17,42.364203,-71.117460
2,Weld,8,13,42.361058,-71.117311
2,Weld,9,14,42.359156,-71.117238
2,Weld,10,9,42.358070,-71.117656
2,Weld,11,8,42.358062,-71.116143
2,Weld,12,15,42.358833,-71.115877
2,Weld,13,12,42.361438,-71.116198
2,Weld,14,16,42.364290,-71.116291
2,Weld,15,21,42.366869,-71.116276
2,Weld,16,18,42.368875,-71.117714
2,Weld,17,26,42.369537,-71.119826
2,Weld,18,61,42.369332,-71.122121
3,Cambridge,1,41,42.372245,-71.133643
3,Cambridge,2,42,42.372283,-71.132647
3,Cambridge,3,43,42.372895,-71.132491
3,Cambridge,4,44,42.373372,-71.131803
3,Cambridge,5,36,42.373657,-71.130611
3,Cambridge,6,37,42.373672,-71.129557
3,Cambridge,7,38,42.373339,-71.128393
3,Cambridge,8,31,42.372794,-71.127596
3,Cambridge,9,32,42.372001,-71.126686
3,Cambridge,10,33,42.370730,-71.126338
3,Cambridge,11,27,42.369774,-71.125653
3,Cambridge,12,29,42.368982,-71.124839
3,Cambridge,13,23,42.368614,-71.123563
3,Cambridge,14,62,42.368181,-71.122105
3,Cambridge,15,61,42.369332,-71.122121
3,Cambridge,16,22,42.369172,-71.123037
3,Cambridge,17,28,42.370226,-71.124121
3,Cambridge,18,34,42.371882,-71.125066
3,Cambridge,19,30,42.373253,-71.126877
3,Cambridge,20,39,42.373996,-71.128272
3,Cambridge,21,40,42.374235,-71.129161
3,Cambridge,22,35,42.374262,-71.130679
3,Cambridge,23,45,42.373824,-71.132513
3,Cambridge,24,46,42.372751,-71.133619
3,Cambridge,25,41,42.372245,-71.133643
4,Finish,1,57,42.367362,-71.136539
4,Finish,2,58,42.366727,-71.135964
4,Finish,3,59,42.367520,-71.133699
4,Finish,4,51,42.368581,-71.132070
4,Finish,5,56,42.369112,-71.131372
4,Finish,6,55,42.369857,-71.131092
4,Finish,7,48,42.370976,-71.131557
4,Finish,8,49,42.371910,-71.132495
4,Finish,9,42,42.372283,-71.132647
4,Finish,10,41,42.372245,-71.133643
4,Finish,11,50,42.371569,-71.133353
4,Finish,12,47,42.370683,-71.132525
4,Finish,13,54,42.370048,-71.132381
4,Finish,14,53,42.369528,-71.132550
4,Finish,15,52,42.369054,-71.132968
4,Finish,16,60,42.367898,-71.134916
4,Finish,17,57,42.367362,-71.136539
