event_id,place,,,status,,lane_bow,club,,,,,,crew,,rower,,penalty,penalty_desc,time_official,delta,,percent,,split1,,cum1,,,,split2,,,cum2,,split3,cum3,,splitF,cum4
51,1,,,Finished,,8,Williams College Boat Club,,,,,,1176.002146,,1 - A. Tewksbury,,,,17:25.577,,,0,,4:11.298,,4:11.298,,,,5:28.999,,,9:40.297,,4:52.847,14:33.144,,2:52.433,17:25.577
51,2,,,Finished,,14,Mercyhurst University Rowing,,,,,,1176.001127,,L. Griffin,,,,17:31.510,5.93,,0.0057,,4:12.744,,4:12.744,,,,5:33.576,,,9:46.320,,4:53.361,14:39.681,,2:51.829,17:31.510
51,3,,,Finished,,1,Bates College,,,,,,1176.00012,,1,,,,17:36.058,10.48,,0.01,,4:13.344,,4:13.344,,,,5:36.456,,,9:49.800,,4:56.389,14:46.189,,2:49.869,17:36.058
51,4,,,Finished,,3,Wellesley College,,,,,,1176.002138,,1 - E. Ball,,,,17:40.790,15.21,,0.0145,,4:13.468,,4:13.468,,,,5:35.162,,,9:48.630,,5:00.707,14:49.337,,2:51.453,17:40.790
51,5,,,Finished,,10,Ithaca College Crew,,,,,,1176.000833,,J. McDevitt,,,,17:56.836,31.26,,0.0299,,4:19.233,,4:19.233,,,,5:42.245,,,10:01.478,,5:01.198,15:02.676,,2:54.160,17:56.836
51,6,,,Finished,,11,Bates College,,,,,,1176.000121,,2,,,,17:59.858,34.28,,0.0328,,4:20.496,,4:20.496,,,,5:44.786,,,10:05.282,,5:01.829,15:07.111,,2:52.747,17:59.858
51,7,,,Finished,,13,Wesleyan University,,,,,,1176.002212,,R. Johnson,,,,18:11.054,45.47,,0.0435,,4:17.212,,4:17.212,,,,5:51.518,,,10:08.730,,5:05.926,15:14.656,,2:56.398,18:11.054
51,8,,,Finished,,24,Tufts University Crew,,,,,,1176.001851,,C. Sleigh,,,,18:11.474,45.89,,0.0439,,4:23.194,,4:23.194,,,,5:46.058,,,10:09.252,,5:05.779,15:15.031,,2:56.443,18:11.474
51,9,,,Finished,,6,Barry University,,,,,,1176.00022,,J. Momirov,,,,18:11.975,46.40,,0.0444,,4:20.866,,4:20.866,,,,5:43.865,,,10:04.731,,5:09.429,15:14.160,,2:57.815,18:11.975
51,10,,,Finished,,7,Rochester Institute Of Technology Crew,,,,,,1176.001533,,1 - A. Weinstein,,,,18:12.084,46.50,,0.0445,,4:21.089,,4:21.089,,,,5:47.265,,,10:08.354,,5:05.717,15:14.071,,2:58.013,18:12.084
51,11,,,Finished,,2,Trinity College Crew,,,,,,1176.001786,,C. Jensen,,,,18:14.752,49.17,,0.047,,4:19.526,,4:19.526,,,,5:44.252,,,10:03.778,,5:10.437,15:14.215,,3:00.537,18:14.752
51,12,,,Finished,,23,"University Of California, Santa Barbara",,,,,,1176.00199,,R. Gronsdahl,,,,18:20.076,54.50,,0.0521,,4:23.664,,4:23.664,,,,5:50.162,,,10:13.826,,5:10.589,15:24.415,,2:55.661,18:20.076
51,13,,,Finished,,17,Colby College Crew,,,,,,1176.000347,,E. Lehner,,,,18:20.680,55.10,,0.0527,,4:20.429,,4:20.429,,,,5:52.589,,,10:13.018,,5:09.520,15:22.538,,2:58.142,18:20.680
51,14,,,Finished,,4,Grand Valley State University Rowing Club,,,,,,1176.000771,,F. Platz,,,,18:25.461,59.88,,0.0573,,4:23.797,,4:23.797,,,,5:50.458,,,10:14.255,,5:12.002,15:26.257,,2:59.204,18:25.461
51,15,,,Finished,,22,Wellesley College,,,,,,1176.002139,,2 - S. Ibrahim,,,,18:27.283,1:01.70,,0.059,,4:26.520,,4:26.520,,,,5:51.867,,,10:18.387,,5:10.862,15:29.249,,2:58.034,18:27.283
51,16,,,Finished,,9,Middlebury College Crew,,,,,,1176.000997,,J. Wolf,,,,18:34.910,1:09.33,,0.0663,,4:24.313,,4:24.313,,,,5:59.707,,,10:24.020,,5:07.699,15:31.719,,3:03.191,18:34.910
51,17,,,Finished,,12,William Smith College Crew,,,,,,1176.002203,,K. Hesler,,,,18:35.480,1:09.90,,0.0669,,4:26.120,,4:26.120,,,,5:51.674,,,10:17.794,,5:14.734,15:32.528,,3:02.952,18:35.480
51,18,,,Finished,,18,U.s. Military Academy Crew,,,,,,1176.001907,,S. Cousens,,,,18:41.595,1:16.02,,0.0727,,4:30.302,,4:30.302,,,,6:03.851,,,10:34.153,,5:11.087,15:45.240,,2:56.355,18:41.595
51,19,,,Finished,,15,Simmons College,,,,,,1176.001606,,C. Foster,,,,18:46.887,1:21.31,,0.0778,,4:29.023,,4:29.023,,,,6:01.878,,,10:30.901,,5:15.148,15:46.049,,3:00.838,18:46.887
51,20,,,Finished,,31,Rochester Institute Of Technology Crew,,,,,,1176.001534,,2 - K. Elahi,,,,18:59.550,1:33.97,,0.0899,,4:32.179,,4:32.179,,,,5:55.685,,,10:27.864,,5:27.075,15:54.939,,3:04.611,18:59.550
51,21,,,Finished,,20,Williams College Boat Club,,,,,,1176.002147,,2 - E. Saulnier,,,,19:01.230,1:35.65,,0.0915,,4:30.693,,4:30.693,,,,6:04.325,,,10:35.018,,5:24.454,15:59.472,,3:01.758,19:01.230
51,22,,,Finished,,19,University Of Vermont Crew,,,,,,1176.002054,,S. Hill,,,,19:06.635,1:41.06,,0.0967,,4:36.766,,4:36.766,,,,6:07.647,,,10:44.413,,5:24.234,16:08.647,,2:57.988,19:06.635
51,23,,,Finished,,28,Clemson University Rowing Association,,,,,,1176.000538,,A. Ahrens,,,,19:06.773,1:41.19,,0.0968,,4:36.916,,4:36.916,,,,6:02.869,,,10:39.785,,5:21.236,16:01.021,,3:05.752,19:06.773
51,24,,,Finished,,25,Marietta College,,,,,,1176.000982,,H. Moore,,,,19:07.321,1:41.74,,0.0973,,4:35.977,,4:35.977,,,,6:02.634,,,10:38.611,,5:24.538,16:03.149,,3:04.172,19:07.321
51,25,,,Finished,,5,Washington College Crew,,,,,,1176.002149,,M. Morrissette,,,,19:15.954,1:50.37,,0.1056,,4:36.553,,4:36.553,,,,6:09.331,,,10:45.884,,5:25.422,16:11.306,,3:04.648,19:15.954
51,26,,,Finished,,16,Mount Holyoke College,,,,,,1176.001002,,,,,,19:16.757,1:51.18,,0.1063,,4:32.452,,4:32.452,,,,6:10.195,,,10:42.647,,5:26.575,16:09.222,,3:07.535,19:16.757
51,27,,,Finished,,32,University Of New Hampshire,,,,,,1176.002028,,B. Bechtold,,,,19:17.801,1:52.22,,0.1073,,4:36.606,,4:36.606,,,,6:03.011,,,10:39.617,,5:29.040,16:08.657,,3:09.144,19:17.801
51,28,,,Finished,,21,Smith College Crew,,,,,,1176.001609,,G. Hackenberg,,,,19:27.870,2:02.29,,0.117,,4:34.559,,4:34.559,,,,6:10.327,,,10:44.886,,5:28.119,16:13.005,,3:14.865,19:27.870
51,29,,,Finished,,26,Binghamton University Crew,,,,,,1176.000229,,L. Holt,,,,19:39.628,2:14.05,,0.1282,,4:41.084,,4:41.084,,,,6:14.156,,,10:55.240,,5:36.541,16:31.781,,3:07.847,19:39.628
51,30,,,Finished,,27,American University Crew Team,,,,,,1176.000102,,J. Gardner,,,,20:10.413,2:44.83,,0.1576,,4:49.211,,4:49.211,,,,6:25.812,,,11:15.023,,5:45.001,17:00.024,,3:10.389,20:10.413
51,31,,,Finished,,30,Clark University Crew,,,,,,1176.000527,,S. Fisher,,,,20:24.383,2:58.80,,0.171,,4:45.794,,4:45.794,,,,6:26.061,,,11:11.855,,5:53.182,17:05.037,,3:19.346,20:24.383
