#Replicon Name	Replicon Accession	Start	Stop	Strand	GeneID	Locus	Locus tag	Protein product	Length	COG(s)	Protein name
chr	NC_004350.2	194	1552	+	1029426	dnaA	SMU_01	NP_720488.1	452	-	chromosome replication initiator DnaA
chr	NC_004350.2	1708	2844	+	1028044	dnaN	SMU_02	NP_720489.1	378	-	DNA polymerase III subunit beta
chr	NC_004350.2	3106	3297	+	1029438	-	SMU_05	NP_720490.1	63	-	hypothetical protein SMU_05
chr	NC_004350.2	3461	4576	+	1029413	-	SMU_06	NP_720491.1	371	-	GTP-binding protein YchF
chr	NC_004350.2	4663	5232	+	1029439	pth	SMU_07	NP_720492.1	189	-	peptidyl-tRNA hydrolase
chr	NC_004350.2	5234	8722	+	1029400	trcF	SMU_08	NP_720493.1	1162	-	transcription-repair coupling factor
chr	NC_004350.2	8852	9124	+	1028153	-	SMU_09	NP_720494.1	90	-	hypothetical protein SMU_09
chr	NC_004350.2	9111	9482	+	1029403	-	SMU_10	NP_720495.1	123	-	hypothetical protein SMU_10
chr	NC_004350.2	9482	9601	+	1029407	-	SMU_11	NP_720496.1	39	-	hypothetical protein SMU_11
chr	NC_004350.2	9632	10846	+	1029383	-	SMU_12	NP_720497.1	404	-	hypothetical protein SMU_12
chr	NC_004350.2	10843	12114	+	1029348	-	SMU_13	NP_720498.1	423	-	cell-cycle protein
chr	NC_004350.2	12118	12660	+	1027835	hprT	SMU_14	NP_720499.1	180	-	hypoxanthine-guanine phosphoribosyltransferase
chr	NC_004350.2	12682	14652	+	1029422	ftsH	SMU_15	NP_720500.1	656	-	cell division protein FtsH
chr	NC_004350.2	15140	16555	+	1029331	-	SMU_16	NP_720501.1	471	-	amino acid permease
chr	NC_004350.2	16624	16761	+	1029373	-	SMU_18	NP_720502.1	45	-	hypothetical protein SMU_18
chr	NC_004350.2	23655	24464	+	1029606	mreC	SMU_20	NP_720503.1	269	-	cell shape-determining protein MreC
chr	NC_004350.2	24466	24972	+	1029607	mreD	SMU_21	NP_720504.1	168	-	cell shape-determining protein MreD
chr	NC_004350.2	25082	26377	+	1029610	gbpB	SMU_22	NP_720505.1	431	-	secreted antigen GbpB/SagA
chr	NC_004350.2	26502	27470	+	1029611	prs	SMU_23	NP_720506.1	322	-	ribose-phosphate pyrophosphokinase
chr	NC_004350.2	27559	28734	+	1029609	-	SMU_24	NP_720507.1	391	-	aromatic amino acid aminotransferase
chr	NC_004350.2	28724	29479	+	1029608	recO	SMU_25	NP_720508.1	251	-	DNA repair protein RecO
chr	NC_004350.2	29687	30685	+	1029612	plsX	SMU_26	NP_720509.1	332	-	phosphate acyltransferase
chr	NC_004350.2	30687	30935	+	1029615	acpP	SMU_27	NP_720510.1	82	-	acyl carrier protein
chr	NC_004350.2	31163	31744	+	1029614	-	SMU_28	NP_720511.1	193	-	ATP-binding protein
chr	NC_004350.2	31867	32574	+	1029613	-	SMU_29	NP_720512.1	235	-	phosphoribosylaminoimidazolesuccinocarboxamide synthase
chr	NC_004350.2	32584	36309	+	1029618	purL	SMU_30	NP_720513.1	1241	-	phosphoribosylformylglycinamidine synthase
chr	NC_004350.2	36331	36951	+	1029619	-	SMU_31	NP_720514.1	206	-	hypothetical protein SMU_31
chr	NC_004350.2	36977	38416	+	1029620	purF	SMU_32	NP_720515.1	479	-	amidophosphoribosyltransferase
chr	NC_004350.2	38633	38914	+	1029621	-	SMU_33	NP_720516.1	93	-	hypothetical protein SMU_33
chr	NC_004350.2	38960	39982	+	1029622	purM	SMU_34	NP_720517.1	340	-	phosphoribosylaminoimidazole synthetase
chr	NC_004350.2	39982	40536	+	1029623	purN	SMU_35	NP_720518.1	184	-	phosphoribosylglycinamide formyltransferase
chr	NC_004350.2	40643	41350	+	1029624	-	SMU_36	NP_720519.1	235	-	hypothetical protein SMU_36
chr	NC_004350.2	41377	42939	+	1029616	purH	SMU_37	NP_720520.1	520	-	bifunctional phosphoribosylaminoimidazolecarboxamide formyltransferase/IMP cyclohydrolase
chr	NC_004350.2	43122	43664	-	1029617	-	SMU_38c	NP_720521.1	180	-	transcriptional regulator
chr	NC_004350.2	43832	44341	+	1029626	-	SMU_39	NP_720522.1	169	-	hypothetical protein SMU_39
chr	NC_004350.2	44518	44679	+	1029627	-	SMU_40	NP_720523.1	53	-	hypothetical protein SMU_40
chr	NC_004350.2	44663	44764	+	1029625	-	SMU_41	NP_720524.1	33	-	hypothetical protein SMU_41
chr	NC_004350.2	44831	45709	+	1029628	-	SMU_42	NP_720525.1	292	-	hypothetical protein SMU_42
chr	NC_004350.2	45781	47160	+	1029630	-	SMU_43	NP_720526.1	459	-	site-specific DNA-methyltransferase restriction-modification protein
chr	NC_004350.2	47171	47782	+	1029632	-	SMU_44	NP_720527.1	203	-	DNA mismatch repair protein
chr	NC_004350.2	47969	49570	+	1029633	-	SMU_45	NP_720528.1	533	-	hypothetical protein SMU_45
chr	NC_004350.2	49572	50207	+	1029629	-	SMU_46	NP_720529.1	211	-	hypothetical protein SMU_46
chr	NC_004350.2	50207	50815	+	1029635	-	SMU_47	NP_720530.1	202	-	hypothetical protein SMU_47
chr	NC_004350.2	51039	52298	+	1029636	purD	SMU_48	NP_720531.1	419	-	phosphoribosylamine--glycine ligase
chr	NC_004350.2	52358	53539	+	1029634	-	SMU_49	NP_720532.1	393	-	hypothetical protein SMU_49
chr	NC_004350.2	53862	54350	+	1029631	purE	SMU_50	NP_720533.1	162	-	phosphoribosylaminoimidazole carboxylase catalytic subunit
chr	NC_004350.2	54337	55428	+	1029640	purK	SMU_51	NP_720534.1	363	-	phosphoribosylaminoimidazole carboxylase ATPase subunit
chr	NC_004350.2	55428	56093	+	1029637	-	SMU_52	NP_720535.1	221	-	hypothetical protein SMU_52
chr	NC_004350.2	56109	56324	+	1029639	-	SMU_53	NP_720536.1	71	-	hypothetical protein SMU_53
chr	NC_004350.2	56331	57023	+	1029638	-	SMU_54	NP_720537.1	230	-	amino acid recemase
chr	NC_004350.2	57125	57388	+	1029641	-	SMU_55	NP_720538.1	87	-	hypothetical protein SMU_55
chr	NC_004350.2	57408	57536	+	1029644	-	SMU_56	NP_720539.1	42	-	hypothetical protein SMU_56
chr	NC_004350.2	57639	58934	+	1029643	-	SMU_58	NP_720540.1	431	-	hypothetical protein SMU_58
chr	NC_004350.2	59244	60542	+	1029647	purB	SMU_59	NP_720541.1	432	-	adenylosuccinate lyase
chr	NC_004350.2	60562	61248	+	1029646	-	SMU_60	NP_720542.1	228	-	DNA alkylation repair protein
chr	NC_004350.2	61631	62545	+	1029642	-	SMU_61	NP_720543.1	304	-	transcriptional regulator
chr	NC_004350.2	63079	64920	-	1029648	-	SMU_63c	NP_720544.1	613	-	hypothetical protein SMU_63c
